id;question;option_a;option_b;option_c;option_d;answer_letter
213;¿En qué unidades están expresados los reactivos y productos en una reacción química?;Gramos;Litros;Átomos;Moles;D
214;¿Qué ley debe cumplir una ecuación química?;Ley de los gases ideales;Ley de la conservación de la masa;Ley de Avogadro;Ley de Boyle;B
215;¿Qué indica la flecha en una ecuación química?;Solo la temperatura;El sentido de la reacción y la igualdad en masa;La velocidad de reacción;La presión del sistema;B
216;¿Qué se usa para lograr el balance de masa en una ecuación química?;Subíndices;Exponentes;Coeficientes;Superíndices;C
217;¿Cuántos moles de Ca(OH)₂ se forman en la reacción CaO + H₂O → Ca(OH)₂?;2 moles;3 moles;1 mol;4 moles;C
218;¿Qué tipo de reacción es 4Al + 3O₂ → 2Al₂O₃?;Descomposición;Doble sustitución;Adición o síntesis;Simple sustitución;C
219;¿Qué caracteriza a las reacciones de descomposición?;Dos sustancias se combinan;Una sustancia se descompone en dos o más productos;Se intercambian elementos;No hay cambios;B
220;¿Qué tipo de reacción es 2H₂O → 2H₂ + O₂?;Síntesis;Simple sustitución;Descomposición;Doble sustitución;C
221;¿Qué ocurre en las reacciones de simple sustitución?;Dos sustancias se combinan;Un elemento sustituye a otro en una sustancia;Dos sustancias intercambian elementos;Una sustancia se descompone;B
222;¿Qué tipo de reacción es Zn + 2HCl → H₂ + ZnCl₂?;Descomposición;Síntesis;Simple sustitución;Doble sustitución;C
223;¿Qué caracteriza a las reacciones de doble sustitución?;Una sustancia se descompone;Dos sustancias intercambian mutuamente sus elementos;Un elemento sustituye a otro;Dos sustancias se combinan;B
224;¿Qué tipo de reacción es BaCl₂ + Na₂SO₄ → 2NaCl + BaSO₄?;Simple sustitución;Síntesis;Descomposición;Doble sustitución;D
225;¿Qué caracteriza a las reacciones irreversibles?;Transcurren en ambos sentidos;Tienen lugar en un solo sentido hasta completarse;No producen productos;Son instantáneas;B
226;¿Qué caracteriza a las reacciones reversibles?;Solo van en un sentido;Los productos pueden regenerar los reactivos;No hay reactivos;Son muy lentas;B
227;¿Qué símbolo indica que una reacción es reversible?;→;←;⇄;=;C
228;¿Qué tipo de reacción es 2NH₃ ⇄ N₂ + 3H₂?;Irreversible;Reversible;Combustión;Neutralización;B
229;¿Qué caracteriza a las reacciones exotérmicas?;Absorben calor;No hay cambio de energía;Desprenden calor;Requieren luz;C
230;¿Qué símbolo indica que una reacción es exotérmica?;+ΔH;ΔH;-ΔH;ΔH;C
231;¿Qué tipo de reacción es CaO + H₂O → Ca(OH)₂ -ΔH?;Endotérmica;Reversible;Exotérmica;Isotérmica;C
232;¿Qué caracteriza a las reacciones endotérmicas?;Desprenden calor;Absorben calor;No hay cambio térmico;Son reversibles;B
233;¿Qué símbolo indica que una reacción es endotérmica?;-ΔH;ΔH;ΔH;+ΔH;D
234;¿Qué tipo de reacción es CaCO₃ → CaO + CO₂ +ΔH?;Exotérmica;Isotérmica;Reversible;Endotérmica;D
235;¿Qué significa ΔH en una reacción química?;Cambio de volumen;Cambio de presión;Cambio de entalpía;Cambio de masa;C
236;¿Qué representa la entalpía a presión constante?;Masa;Volumen;Temperatura;Calor;D
237;¿Qué caracteriza a las reacciones No Redox?;Todos los elementos cambian de oxidación;Ningún elemento sufre cambio en su número de oxidación;Siempre son reversibles;Solo hay reducción;B
238;¿Qué tipo de reacción es HCl + KOH → KCl + H₂O según cambios de oxidación?;Redox;Combustión;No Redox;Precipitación;C
239;¿Qué implica la oxidación en una reacción Redox?;Ganancia de electrones;Pérdida de protones;Pérdida de electrones y aumento del número de oxidación;Ganancia de neutrones;C
240;¿Qué implica la reducción en una reacción Redox?;Pérdida de electrones;Aumento del número de oxidación;Ganancia de electrones y disminución del número de oxidación;Pérdida de protones;C
241;¿Qué tipo de reacción es Zn + FeSO₄ → ZnSO₄ + Fe?;No Redox;Neutralización;Redox;Precipitación;C
242;¿Qué caracteriza a las reacciones de neutralización?;Metal + no metal;Ácido + sal;Ácido + hidróxido (base);Dos ácidos;C
243;¿Qué productos se forman en una reacción de neutralización?;Ácido y base;Óxido y agua;Sal y agua;Metal y no metal;C
244;¿Qué tipo de reacción es HCl + NaOH → NaCl + H₂O?;Precipitación;Combustión;Redox;Neutralización;D
245;¿Qué se forma en las reacciones de precipitación?;Un gas;Un sólido insoluble (precipitado);Solo líquidos;Solo gases;B
246;¿Qué indica (s) en una ecuación química?;Solución;Sólido;Sustancia;Sistema;B
247;¿Qué indica (ac) en una ecuación química?;Ácido;Activo;Acuoso;Alcalino;C
248;¿Qué tipo de reacción es AgNO₃(ac) + NaCl(ac) → AgCl(s) + NaNO₃(ac)?;Neutralización;Combustión;Precipitación;Síntesis;C
249;¿Qué es el combustible en una reacción de combustión?;El oxígeno;La sustancia que reacciona con el comburente;El producto final;El catalizador;B
250;¿Qué es generalmente el comburente en una combustión?;Nitrógeno del aire;Hidrógeno;Oxígeno del aire;Dióxido de carbono;C
251;¿Qué productos se forman en una combustión completa?;CO y C;CO₂ y H₂O;Solo CO;Solo C;B
252;¿Qué productos pueden formarse en una combustión incompleta?;Solo CO₂;CO y/o C;Solo H₂O;Solo O₂;B
253;¿Qué tipo de reacción es CH₄ + 2O₂ → CO₂ + 2H₂O -ΔH?;Endotérmica;Combustión completa;Combustión incompleta;Neutralización;B
254;¿Qué tipo de reacción es 2CH₄ + 3O₂ → 2CO + 4H₂O -ΔH?;Combustión completa;Neutralización;Combustión incompleta;Precipitación;C
255;¿Son las combustiones reacciones exotérmicas o endotérmicas?;Endotérmicas;Isotérmicas;Neutras;Altamente exotérmicas;D
256;¿Qué es la llama según el texto?;Un gas;La manifestación de reacciones de combustión;Un sólido incandescente;Un líquido;B
257;¿Qué tipo de reacción es CO₂ + H₂O → H₂CO₃?;Descomposición;Simple sustitución;Adición o síntesis;Doble sustitución;C
258;¿Qué tipo de reacción es CaCO₃ → CaO + CO₂?;Síntesis;Neutralización;Descomposición;Simple sustitución;C
259;¿Qué tipo de reacción es Mg + H₂SO₄ → MgSO₄ + H₂?;Doble sustitución;Descomposición;Síntesis;Simple sustitución;D
260;¿Qué tipo de reacción es FeCl₃ + 3NH₄OH → Fe(OH)₃ + 3NH₄Cl?;Simple sustitución;Síntesis;Descomposición;Doble sustitución;D
261;¿Qué tipo de reacción es MgO + H₂O → Mg(OH)₂?;Reversible;Descomposición;Irreversible;Combustión;C
262;¿Qué tipo de reacción es 2NaHCO₃ → Na₂CO₃ + H₂O + CO₂ +ΔH?;Exotérmica;Reversible;Endotérmica;Neutralización;C
263;¿Qué tipo de reacción es 2KClO₃ → 3O₂ + 2KCl +ΔH?;Exotérmica;Síntesis;Simple sustitución;Endotérmica;D
264;¿Qué proceso es simultáneo en las reacciones Redox?;Oxidación y precipitación;Oxidación y reducción;Reducción y neutralización;Combustión y neutralización;B
265;¿Qué tipo de reacción es 4NH₃ + 3O₂ → 2N₂ + 6H₂O?;No Redox;Neutralización;Precipitación;Redox;D
266;¿A qué se deben los cambios en la estructura atómico-molecular de la materia?;Procesos físicos;Procesos mecánicos;Mezclas;Reacciones químicas;D
267;¿Qué indican los coeficientes en una reacción química?;Estado de agregación;Cambios de calor;Cantidad de reacciones;Cantidad de elementos o compuestos;D
268;¿Qué tipo de reacción es H₂S + I₂ → 2HI + S?;Descomposición;Combinación;Doble sustitución;Simple sustitución;D
269;¿Qué tipo de reacción es Ca(ClO₃)₂ → CaCl₂ + 3O₂?;Reversible;Descomposición;Doble sustitución;Combustión;B
270;¿Qué tipo de reacción es CaCl₂ + Na₂SO₄ → CaSO₄ + 2NaCl?;Simple sustitución;Descomposición;Combinación;Doble sustitución;D
271;¿Qué indica que una combustión es completa?;Formación de C;Formación de O₂;Formación de CO;Formación de CO₂;D
272;¿Qué puede formarse en una combustión incompleta además de CO?;O₂;CO₂;CH₄;C;D
273;¿Cómo se denomina una reacción donde se modifican los números de oxidación?;Nuclear;Neutralización;Precipitación;Rédox;D
274;¿Cómo se denomina una reacción entre un ácido y una base?;Rédox;Precipitación;Nuclear;Neutralización;D
275;¿Qué tipo de reacción es HClO₃ + NH₄OH → NH₄ClO₃ + H₂O?;Precipitación;Combustión;Redox;Neutralización;D
276;¿Qué tipo de reacción es CH₃COOH + KOH → KCH₃COO + H₂O?;Redox;Neutralización;Combustión;Precipitación;B
277;¿Qué tipo de reacción es 2KMnO₄ + 16HCl → 5Cl₂ + 2MnCl₂ + 2KCl + 8H₂O?;Neutralización;Precipitación;Redox;No Redox;C
278;¿Qué tipo de reacción es C₂H₆ + 7/2O₂ → 2CO₂ + 3H₂O -ΔH?;Endotérmica;Neutralización;Precipitación;Combustión completa;D
279;¿Qué tipo de reacción es C + O₂ → CO₂?;Descomposición;Doble sustitución;Simple sustitución;Síntesis;D
280;¿Cuáles son los componentes de una reacción química?;Soluto y disolvente;Coeficientes y subíndices;Reactivos y reactantes;Reactivos y productos;D
281;¿Qué ley debe cumplir una ecuación química?;Ley de los gases ideales;Ley de la conservación de la masa;Ley de Avogadro;Ley de Dalton;B
282;¿Qué indica la flecha en una ecuación química además del sentido de la reacción?;La temperatura;La igualdad en masa de reactivos y productos;La velocidad de reacción;El estado de agregación;B
283;¿Qué se utiliza para balancear una ecuación química?;Subíndices;Exponentes;Superíndices;Coeficientes;D
284;¿Qué símbolo indica que una reacción es reversible?;→;←;⇄;=;C
285;¿Qué significa el símbolo (s) en una ecuación química?;Sustancia;Solución;Sólido;Sistema;C
286;¿Qué significa el símbolo (g) en una ecuación química?;Gas;Gaseoso;Gramo;Grupo;B
287;¿Qué significa el símbolo (ac) en una ecuación química?;Ácido;Acuoso;Activo;Acelerado;B
288;¿Qué significa el símbolo hv en una ecuación química?;Se produce o requiere luz;Se requiere calor;Se produce gas;Se forma precipitado;A
289;¿Qué indica el símbolo ∠ϟ en una ecuación química?;Interviene energía eléctrica;Se requiere calor;Se produce luz;Se usa catalizador;A
290;¿Qué indica el símbolo ↑ en una ecuación química?;Producto liberado como gas;Precipitado formado;Calor liberado;Luz producida;A
291;¿En qué términos están representadas las ecuaciones químicas?;Gramos;Litros;Átomos;Moles;D
292;¿Cuántos moles de NH₃ se producen en la reacción N₂ + 3H₂ → 2NH₃?;1 mol;3 moles;4 moles;2 moles;D
293;¿Cuál es el primer paso recomendado en el método de tanteo?;Balancear oxígenos;Balancear no metales;Balancear hidrógenos;Balancear metales;D
294;¿Cuál es el último paso en el método de tanteo?;Balancear metales;Balancear no metales;Balancear hidrógenos;Balancear oxígenos;D
295;¿Qué caracteriza al método del número de oxidación?;Identificar precipitados;Identificar sustancias que cambian su número de oxidación;Identificar gases;Identificar catalizadores;B
296;¿Qué implica la oxidación según el método del número de oxidación?;Ganancia de electrones;Aumento del número de oxidación y pérdida de electrones;Disminución del número de oxidación;Compartir electrones;B
297;¿Qué implica la reducción según el método del número de oxidación?;Pérdida de electrones;Aumento del número de oxidación;Disminución del número de oxidación y ganancia de electrones;Compartir protones;C
298;¿Qué es un agente oxidante?;Sustancia que se oxida;Sustancia que pierde electrones;Sustancia que capta electrones y se reduce;Sustancia neutra;C
299;¿Qué es un agente reductor?;Sustancia que se reduce;Sustancia que cede electrones y se oxida;Sustancia que capta electrones;Sustancia inerte;B
300;En la reacción Zn + S → ZnS, ¿qué le ocurre al Zn?;Se reduce;Permanece igual;Se oxida perdiendo 2 electrones;Gana electrones;C
301;En la reacción Zn + S → ZnS, ¿qué le ocurre al S?;Se oxida;Se reduce ganando 2 electrones;Permanece igual;Pierde electrones;B
302;En la reacción Zn + CuSO₄ → Cu + ZnSO₄, ¿cuál es el agente reductor?;Cu;CuSO₄;SO₄;Zn;D
303;En la reacción Zn + CuSO₄ → Cu + ZnSO₄, ¿cuál es el agente oxidante?;Zn;ZnSO₄;Cu²⁺;SO₄;C
304;¿Qué método se emplea mayormente en reacciones redox en medio acuoso?;Método de tanteo;Método algebraico;Método del número de oxidación;Método de ion electrón;D
305;¿Qué se escribe en el método de ion electrón?;Solo la reacción completa;Semirreacciones de oxidación y reducción;Solo los productos;Solo los reactivos;B
306;¿Qué son los electrolitos?;Sustancias que no conducen electricidad;Sustancias que producen iones y conducen corriente eléctrica;Sustancias neutras;Sustancias sólidas;B
307;¿Cómo se disocia el HCl en medio acuoso?;HCl → H₂ + Cl;HCl → H⁺ + Cl⁻;HCl → H₂O + Cl;HCl → H + Cl;B
308;¿Cómo se disocia el NaOH en medio acuoso?;Na + OH;Na⁺ + OH⁻;NaO + H;Na₂ + O + H;B
309;¿Qué caracteriza al medio ácido en las reacciones redox?;Presencia de iones OH⁻;Presencia de iones H⁺;Ausencia de iones;Presencia de electrones;B
310;¿Qué caracteriza al medio básico o alcalino en las reacciones redox?;Presencia de iones H⁺;Ausencia de iones;Presencia de electrones;Presencia de iones OH⁻;D
311;En medio ácido, ¿con qué se balancea el hidrógeno faltante?;Con OH⁻;Con H₂O;Con H⁺;Con O₂;C
312;En medio ácido, ¿con qué se añaden los oxígenos faltantes?;Con iones H⁺;Con iones OH⁻;Con moléculas de O₂;Con moléculas de agua;D
313;En medio básico, ¿qué se añade por cada oxígeno en exceso?;Iones H⁺;Moléculas de agua en el mismo miembro;Iones OH⁻;Moléculas de O₂;B
314;En medio básico, ¿qué se agrega al otro lado de la reacción para balancear?;Iones H⁺;El doble de iones OH⁻;Moléculas de agua;Oxígeno molecular;B
315;¿Qué debe hacerse con los electrones en las semirreacciones al sumarlas?;Duplicarlos;Triplicarlos;Sumarlos;Cancelarse;D
316;En el método de ion electrón, ¿qué se hace con el número de electrones ganados y perdidos?;Se suman;Se restan;Se intercambian;Se multiplican;C
317;¿Cuál es el coeficiente del HCl balanceado en Fe + HCl → FeCl₂ + H₂?;1;3;4;2;D
318;¿Cuál es el coeficiente del O₂ balanceado en C₂H₄ + O₂ → CO₂ + H₂O?;2;3;4;5;B
319;¿Cuál es el coeficiente del H₂SO₄ en la reacción Al₂O₃ + H₂SO₄ → Al₂(SO₄)₃ + H₂O?;2;4;3;5;C
320;¿Cuál es el coeficiente del H₂O en la reacción Al₂O₃ + 3H₂SO₄ → Al₂(SO₄)₃ + H₂O?;2;4;3;5;C
321;En la reacción HNO₂ + H₂S → NO + S + H₂O, el nitrógeno se reduce de +5 a ¿qué valor?;0;1;3;2;D
322;En la reacción HNO₂ + H₂S → NO + S + H₂O, el azufre se oxida de -2 a ¿qué valor?;2;-1;1;0;D
323;¿Cuántos electrones capta el nitrógeno en la reacción HNO₂ + H₂S → NO + S + H₂O?;2;4;5;3;D
324;¿Cuántos electrones pierde el azufre en la reacción HNO₂ + H₂S → NO + S + H₂O?;1;3;2;4;C
325;¿Cuál es el coeficiente del HNO₂ balanceado en 2HNO₂ + 3H₂S → 2NO + 3S + 4H₂O?;1;3;4;2;D
326;¿Cuál es el coeficiente del H₂S balanceado en 2HNO₂ + 3H₂S → 2NO + 3S + 4H₂O?;2;3;4;5;B
327;En la ecuación N₂ + 3H₂ → 2NH₃, ¿cuántos gramos de N₂ reaccionan?;14 g;56 g;28 g;42 g;C
328;En la ecuación N₂ + 3H₂ → 2NH₃, ¿cuántos gramos de H₂ reaccionan?;2 g;4 g;6 g;8 g;C
329;En la ecuación N₂ + 3H₂ → 2NH₃, ¿cuántos gramos de NH₃ se forman?;17 g;51 g;68 g;34 g;D
330;¿Qué suma de gramos de reactivos debe ser igual a qué en una reacción balanceada?;Suma de gramos de productos;Doble de productos;Mitad de productos;Triple de productos;A
331;¿Qué implica la oxidación según los ejercicios?;Ganancia de electrones;Disminución del número de oxidación;Compartir pares de electrones;Pérdida de electrones;D
332;En la reacción 2HCl + Mg → MgCl₂ + H₂, ¿qué elemento se oxida?;Cloro;Hidrógeno;Magnesio;Ácido clorhídrico;C
333;En la ecuación Mn + FeSO₄ → MnSO₄ + Fe, ¿cuál es el agente reductor?;Fe;Mn;S;FeSO₄;B
334;¿Qué proceso químico implica aumento del número de oxidación?;Reducción;Simplificación;Ionización;Oxidación;D
335;Para una reacción redox, ¿qué deben hacer los elementos al reaccionar?;Cambiar su número atómico;Cambiar su número de oxidación;Intercambiar su masa atómica;Estar disueltos en agua necesariamente;B
336;En las ecuaciones balanceadas por ion electrón en medio ácido, ¿cómo se igualan los oxígenos?;Con iones OH⁻;Con iones H⁺;Con el método algebraico;Con moléculas de agua;D
337;En la reacción Ca + Cl₂ → CaCl₂, ¿cuál es el agente oxidante?;Ca;CaCl₂;Cl₂;Ca y Cl₂;C
338;¿Qué es una ecuación química?;Representación de compuestos;Reacciones iónicas;Reacciones reversibles;Representación escrita de reacciones químicas;D
339;¿Cuál es el número de oxidación del manganeso en el permanganato de potasio (KMnO₄)?;2;4;6;7;D
340;¿Cuál es el número de oxidación del cromo en el cromato de sodio (Na₂CrO₄)?;2;3;6;7;C
341;¿Cuál es el número de oxidación del plomo en el nitrato de plomo [Pb(NO₃)₂]?;2;4;6;7;A
342;¿Cuál es el número de oxidación del azufre en el sulfuro de amonio [(NH₄)₂S]?;-1;-2;1;4;B
343;¿Cuál es el número de oxidación del fósforo en el ácido fosfórico (H₃PO₄)?;3;4;5;6;C
344;¿Qué se utiliza generalmente para balancear una ecuación química?;Coeficientes;Subíndices;Exponentes;Estados de agregación;A
345;¿Qué símbolo se usa cuando existe más de un reactante o producto?;→;⇄;↑;+;D
346;¿Qué significa el símbolo (l) en una ecuación química?;Litro;Líquido;Libre;Liviano;B
347;¿Qué símbolo indica que se usa un acelerador o retardador en la reacción?;hv;q;catalizador;∠ϟ;C
348;¿Qué indica el símbolo q en una ecuación química?;Se requiere luz;Se requiere calor;Se produce gas;Se usa catalizador;B
349;En medio neutro, ¿se utilizan ácidos o bases fuertes?;Solo ácidos;Solo bases;Ambos;Ninguno;D
350;En la reacción Zn + 2AgNO₃ → Zn(NO₃)₂ + 2Ag, ¿cuál es el coeficiente del AgNO₃ balanceado?;1;3;4;2;D
351;¿Cuántas unidades elementales contiene un mol de cualquier sustancia?;6.023 × 10²³;1.023 × 10²³;3.022 × 10²³;12.046 × 10²³;A
352;¿Cuál es el volumen molar de un gas en condiciones normales de presión y temperatura?;11.2 L;22.4 L;44.8 L;67.2 L;B
353;¿Qué volumen de O₂ se obtiene al descomponer 3 moles de O₂ en condiciones normales?;22.4 L;44.8 L;67.2 L;89.6 L;C
354;¿Cuántos gramos de Zn se necesitan para obtener 5.45 L de H₂ en C.N. según la reacción Zn + 2HCl → ZnCl₂ + H₂?;15.91 g;31.82 g;7.95 g;65.4 g;A
355;¿Qué nombre recibe la cantidad de partículas, moléculas e iones que contiene un mol de cualquier sustancia?;Número de Avogadro;Número de Dalton;Número de Lavoisier;Número de Proust;A
356;¿Cuál es la masa molar del H₂S?;18 g/mol;34 g/mol;40 g/mol;62 g/mol;B
357;¿Cuántos moles hay en 45 g de agua (H₂O)?;1.5 mol;2.5 mol;3.5 mol;4.5 mol;B
358;¿Cuál es el porcentaje de hidrógeno en un mol de etano (C₂H₆) con masa molar de 30 g/mol?;10%;20%;30%;40%;B
359;Según la ley de conservación de la materia, ¿qué ocurre con la materia en una reacción química?;Se crea;Se destruye;Se transforma;Se duplica;C
360;En la reacción Al₄C₃ + 12H₂O → 4Al(OH)₃ + 3CH₄, ¿cuál es la suma de masas de los reactivos?;144 g;216 g;312 g;360 g;D
361;¿Qué porcentaje de calcio contiene el CaO cuya masa molar es 56 g/mol?;28.57%;50%;71.43%;85%;C
362;En la combinación N-O, si la masa de nitrógeno permanece en 28 g/mol, ¿qué masa de oxígeno tiene el N₂O₄?;16 g/mol;32 g/mol;48 g/mol;64 g/mol;D
363;¿Cuántos moles de NH₃ se producen a partir de 18 moles de H₂O según Mg₃N₂ + 6H₂O → 3Mg(OH)₂ + 2NH₃?;3 mol;6 mol;9 mol;12 mol;B
364;¿Cuántos gramos de Al se necesitan para producir 3 moles de Co según 3Co₃O₄ + 8Al → 9Co + 4Al₂O₃?;27 g;54 g;72 g;81 g;C
365;¿Qué cantidad de (NH₄)₂Cr₂O₇ se necesita para obtener 19 g de Cr₂O₃?;15.75 g;31.5 g;47.25 g;63 g;B
366;¿Cuántos gramos de CH₃OH se necesitan para reaccionar con 67.2 L de O₂ en C.N. según 2CH₃OH + 3O₂ → 2CO₂ + 4H₂O?;32 g;48 g;64 g;96 g;C
367;¿Cuántos litros de O₂ se necesitan para la combustión completa de 20 L de C₂H₆ según 2C₂H₆ + 7O₂ → 4CO₂ + 6H₂O?;35 L;50 L;70 L;90 L;C
368;¿Cuántos moles de O₂ reaccionan con 2 moles de C₃H₈ según C₃H₈ + 5O₂ → 3CO₂ + 4H₂O?;5 mol;10 mol;15 mol;20 mol;B
369;Para preparar 6 moles de NH₃ según N₂ + 3H₂ → 2NH₃, ¿cuántos moles de H₂ se necesitan?;3 mol;6 mol;9 mol;12 mol;C
370;¿Cuántos litros de H₂ en C.N. se obtienen de 48 g de Mg según Mg + 2HCl → MgCl₂ + H₂?;22.4 L;33.6 L;44.8 L;56 L;C
371;¿Cuántos gramos de O₂ se producen al descomponer 1 mol de KClO₃ según 2KClO₃ → 2KCl + 3O₂?;32 g;48 g;64 g;96 g;B
372;¿Cuántos moles de Na₂O₂ se necesitan para producir 2 moles de O₂ según 2Na₂O₂ + 2H₂O → O₂ + 4NaOH?;1 mol;2 mol;3 mol;4 mol;D
373;¿Cuántos moles de CO₂ se obtienen cuando se producen 5 moles de C₂H₅OH según C₆H₁₂O₆ → 2C₂H₅OH + 2CO₂?;2 mol;5 mol;10 mol;15 mol;B
374;¿Cuántos gramos de Fe₂O₃ se obtienen de 1 mol de Fe según 4Fe + 3O₂ → 2Fe₂O₃?;40 g;80 g;120 g;160 g;B
375;¿Cuántos gramos de C se necesitan para producir 56 g de CO según SiO₂ + 3C → SiC + 2CO?;12 g;24 g;36 g;48 g;C
376;¿Cuántos gramos de CO₂ se producen al formar ½ mol de Cr₂S₃ según 2Cr₂O₃ + 3CS₂ → 2Cr₂S₃ + 3CO₂?;22 g;33 g;44 g;66 g;D
377;¿Cuántos litros de NH₃ se necesitan para producir 4 L de NO según 4NH₃ + 5O₂ → 6H₂O + 4NO?;2 L;3 L;4 L;5 L;C
378;¿Cuántos moles de CaC₂ reaccionan para obtener 52 g de C₂H₂ según CaC₂ + 2H₂O → Ca(OH)₂ + C₂H₂?;1 mol;2 mol;3 mol;4 mol;B
379;¿Cuántos litros de H₂ en C.N. se obtienen al reaccionar 27 g de Al según 2Al + 3H₂SO₄ → Al₂(SO₄)₃ + 3H₂?;11.2 L;22.4 L;33.6 L;44.8 L;C
380;¿Cuántos gramos de C₆H₆ reaccionan para formar 44.8 L de CO₂ en C.N. según 2C₆H₆ + 15O₂ → 12CO₂ + 6H₂O?;13 g;26 g;39 g;52 g;B
381;¿Qué establece la ley de Proust o de la composición constante?;La materia se conserva;Los elementos se combinan en proporciones constantes;El volumen es proporcional a la temperatura;La presión es inversamente proporcional al volumen;B
382;¿Cuál es la masa molar del CaCl₂?;74 g/mol;95 g/mol;111 g/mol;127 g/mol;C
383;¿Cuántos átomos hay en 1 mol de calcio?;3.011 × 10²³;6.022 × 10²³;9.033 × 10²³;12.044 × 10²³;B
384;¿Cuál es la masa molar del NO₃⁻?;46 g/mol;54 g/mol;62 g/mol;78 g/mol;C
385;¿Cuántos gramos hay en 3.5 moles de H₂O?;45 g;54 g;63 g;72 g;C
386;¿Cuál es el porcentaje de carbono en un mol de etano (C₂H₆)?;60%;70%;80%;90%;C
387;¿Qué condiciones se consideran como condiciones normales (C.N.)?;T = 25°C, P = 1 atm;T = 0°C, P = 760 mm Hg;T = 100°C, P = 2 atm;T = -273°C, P = 0.5 atm;B
388;¿Cuántos litros de H₂ se necesitan para obtener 112 L de HF en C.N. según H₂ + F₂ → 2HF?;28 L;44.8 L;56 L;112 L;C
389;¿Qué ley establece que volúmenes iguales de gases tienen el mismo número de moléculas a iguales P y T?;Ley de Dalton;Ley de Avogadro;Ley de Boyle;Ley de Charles;B
390;En la reacción C₃H₈ + 5O₂ → 3CO₂ + 4H₂O, ¿cuántos litros de CO₂ se producen en C.N.?;22.4 L;44.8 L;67.2 L;89.6 L;C
391;¿Cuál es la masa atómica gramo del fósforo (P)?;15 g/mol;23 g/mol;31 g/mol;39 g/mol;C
392;¿Qué establece la ley de las proporciones múltiples de Dalton?;La suma de masas se conserva;Un elemento puede combinarse en diferentes proporciones;Los volúmenes son proporcionales;Las masas son inversamente proporcionales;B
393;¿Cuántas moléculas hay en 1 mol de H₂S?;3.011 × 10²³;6.022 × 10²³;9.033 × 10²³;12.044 × 10²³;B
394;En la combustión Ni + H₂ → NiH₂ y S + H₂ → H₂S, ¿qué ley se comprueba con Ni + S → NiS?;Ley de conservación de la materia;Ley de proporciones recíprocas;Ley de proporciones definidas;Ley de proporciones múltiples;B
395;¿Cuántos litros de O₂ en C.N. corresponden a 5 moles de O₂?;44.8 L;67.2 L;89.6 L;112 L;D
396;¿Qué rama de la química estudia los cálculos basados en reacciones químicas?;Termodinámica;Estequiometría;Cinética;Electroquímica;B
397;¿Cuántos litros de H₂O gaseoso se producen en C.N. según C₃H₈ + 5O₂ → 3CO₂ + 4H₂O?;44.8 L;67.2 L;89.6 L;112 L;C
398;¿Cuál es la masa molar del agua (H₂O)?;16 g/mol;18 g/mol;20 g/mol;22 g/mol;B
399;¿Qué científico estableció la ley de conservación de la materia?;Dalton;Proust;Lavoisier;Avogadro;C
400;En la reacción H₂ + F₂ → 2HF, ¿cuál es la relación volumétrica entre reactivos?;01:02;01:01;02:01;03:01;B
401;¿Cuántos iones hay en 1 mol de NO₃⁻?;3.011 × 10²³;6.022 × 10²³;9.033 × 10²³;12.044 × 10²³;B
402;¿Cuál es la relación volumétrica entre reactivos en 3H₂ + N₂ → 2NH₃?;01:01;02:01;03:01;04:01;C
403;¿Qué unidad se usa para expresar la masa molar?;g;mol;g/mol;L/mol;C
404;En la reacción 2Cl₂ + O₂ → 2Cl₂O, ¿cuál es la relación volumétrica entre Cl₂ y O₂?;01:01;02:01;03:01;01:02;B
405;¿Cuántos gramos de carbono-12 definen un mol?;6 g;10 g;12 g;24 g;C
406;¿Qué científico formuló la ley de las masas equivalentes?;Lavoisier;Dalton;Proust;Richter;D
407;¿Cuál es la masa molar del calcio (Ca)?;20 g/mol;32 g/mol;40 g/mol;56 g/mol;C
408;¿Cuántos litros de C₃H₈ en C.N. corresponden a 1 mol?;11.2 L;22.4 L;33.6 L;44.8 L;B
409;¿Qué valor tiene la presión en condiciones normales expresada en mm Hg?;380 mm Hg;560 mm Hg;760 mm Hg;1000 mm Hg;C
410;¿Cuántos litros de O₂ en C.N. se producen según C₃H₈ + 5O₂ → 3CO₂ + 4H₂O a partir de 1 mol de C₃H₈?;44.8 L;89.6 L;112 L;134.4 L;C
411;¿Qué temperatura se considera en condiciones normales?;0°C;25°C;100°C;273°C;A
412;¿Cuál es la relación volumétrica entre reactivos y productos en H₂ + F₂ → 2HF?;02:02;03:02;04:02;05:02;A
413;¿Cuántas unidades fórmula de CaCl₂ hay en 1 mol?;3.011 × 10²³;6.022 × 10²³;9.033 × 10²³;12.044 × 10²³;B
414;¿Qué establece que la suma de masas de reactivos es igual a la suma de masas de productos?;Ley de Proust;Ley de Dalton;Ley de Lavoisier;Ley de Richter;C
415;¿Cuál es el valor exacto del número de Avogadro?;6.0221367 × 10²³;3.0110683 × 10²³;12.044274 × 10²³;9.0332050 × 10²³;A
416;En la proporción N-O, ¿cuál es la relación de masas de oxígeno en los cinco compuestos si N permanece constante en 28 g/mol?;1:2:3:4:5;2:3:4:5:6;1:3:5:7:9;1:1:2:2:3;A
417;¿Cuántos moles de H₂ se necesitan para preparar 6 moles de NH₃ según N₂ + 3H₂ → 2NH₃?;3 mol;6 mol;9 mol;12 mol;C
