id;question;option_a;option_b;option_c;option_d;answer_letter;;
219;¿Cuál es el hueso más grande y fuerte del tarso?;Astrágalo;Calcáneo;Navicular;Cuboides;B;;
220;¿Cuántos huesos metatarsianos tiene cada pie?;4;5;6;7;B;;
221;¿Cuántas falanges tiene el dedo gordo del pie?;1;2;3;4;B;;
222;¿Qué tipo de articulación se denomina sinartrosis?;Móvil;Con movimiento limitado;Inmóvil;Con gran movimiento;C;;
223;¿Qué tipo de articulación se denomina diartrosis?;Inmóvil;Con movimiento limitado;Con gran movimiento;Sin cavidad;C;;
224;¿Qué tipo de sutura aparece como línea ondulada con márgenes dentados?;Escamosa;Plana;Dentada;Armónica;C;;
225;¿Qué estructura mantiene al diente firmemente en su lugar?;Cemento dental;Ligamento periodontal;Encía;Hueso alveolar;B;;
226;¿Qué tipo de articulación es la unión entre radio y cúbito?;Sutura;Gónfosis;Sindesmosis;Sincondrosis;C;;
227;¿Qué tipo de cartílago conecta los huesos en una sincondrosis?;Fibrocartílago;Cartílago elástico;Cartílago hialino;Cartílago articular;C;;
228;¿Cuántos discos intervertebrales hay en la columna vertebral?;21;23;25;27;B;;
229;¿Qué estructura distingue a las articulaciones sinoviales de las demás?;Ligamentos;Cavidad sinovial;Cartílago articular;Cápsula fibrosa;B;;
230;¿Qué células secretan el líquido sinovial?;Condroblastos;Osteoblastos;Células parecidas a fibroblastos;Condrocitos;C;;
231;¿Qué tipo de articulación sinovial permite solo deslizamiento?;Gínglimo;Artrodia;Trocoide;Condílea;B;;
232;¿Qué tipo de articulación es la rodilla?;Artrodia;Gínglimo;Trocoide;Enartrosis;B;;
233;¿Qué tipo de articulación permite rotación alrededor de un eje longitudinal?;Gínglimo;Artrodia;Trocoide;Condílea;C;;
234;¿Cuántos ejes de movimiento tiene una articulación condílea?;Uno;Dos;Tres;Cuatro;B;;
235;¿Qué tipo de articulación es la del hombro?;Gínglimo;Condílea;En silla de montar;Enartrosis;D;;
236;¿Qué porcentaje del peso corporal pueden representar los músculos esqueléticos en adultos?;20-30%;30-40%;40-50%;50-60%;C;;
237;¿Cuántos músculos aproximadamente integran el sistema muscular?;500;600;700;800;C;;
238;¿Qué capa de tejido conectivo rodea todo el músculo esquelético?;Endomisio;Perimisio;Epimisio;Fascia;C;;
239;¿Qué capa de tejido conectivo rodea grupos de 10 a 100 fibras musculares?;Endomisio;Perimisio;Epimisio;Fascia;B;;
240;¿Cómo se denominan los haces de fibras musculares?;Miofibrillas;Fascículos;Sarcómeras;Filamentos;B;;
241;¿De cuántos mioblastos surge cada fibra muscular esquelética durante el desarrollo?;50 o más;75 o más;100 o más;150 o más;C;;
242;¿Cómo se llama la membrana plasmática de una célula muscular?;Sarcolema;Sarcoplasma;Endomisio;Perimisio;A;;
243;¿Qué proteína da color al músculo y almacena oxígeno?;Actina;Miosina;Mioglobina;Hemoglobina;C;;
244;¿Qué proteínas forman los filamentos contráctiles del músculo?;Actina y miosina;Troponina y tropomiosina;Mioglobina y hemoglobina;Titina y nebulina;A;;
245;¿Qué estructura del músculo cardíaco contiene desmosomas y uniones en hendidura?;Túbulos transversos;Discos intercalares;Sarcómeras;Fibras de Purkinje;B;;
246;¿Dónde se localiza el núcleo en las fibras del músculo liso?;Periférico;Central;Multiple;No tiene núcleo;B;;
247;¿Qué estructuras del músculo liso contienen Ca2+ extracelular?;Túbulos transversos;Cavéolas;Retículo sarcoplasmático;Sarcómeras;B;;
248;¿Cómo se denomina la capacidad del tejido muscular de responder a estímulos generando potenciales de acción?;Contractilidad;Excitabilidad eléctrica;Extensibilidad;Elasticidad;B;;
249;¿Cómo se denomina la capacidad del tejido muscular de contraerse enérgicamente?;Excitabilidad;Contractilidad;Extensibilidad;Elasticidad;B;;
250;¿Cómo se denomina la generación de calor por contracción muscular?;Homeostasis;Termogénesis;Termorregulación;Metabolismo;B;;
251;¿Cuántos músculos oculares extrínsecos mueven cada globo ocular?;4;5;6;7;C;;
252;¿Qué músculo es el más largo del cuerpo humano?;Recto femoral;Sartorio;Bíceps femoral;Grácil;B;;
253;¿Cuántas cabezas tiene el músculo cuádriceps femoral?;2;3;4;5;C;;
254;¿Qué músculo forma la prominencia de la pantorrilla?;Sóleo;Tibial anterior;Gastrocnemio;Plantar;C;;
255;¿Qué músculo es el principal responsable de la respiración?;Intercostales externos;Intercostales internos;Diafragma;Pectoral menor;C;;
256;¿Cuántos músculos rectos tiene cada ojo?;2;3;4;6;C;;
257;¿Qué músculo facial rodea los labios?;Buccinador;Orbicular de labios;Risorio;Mentoniano;B;;
258;¿Cuántos músculos masticadores principales se mencionan?;2;3;4;5;C;;
259;¿Qué músculo del cuello tiene dos vientres separados por un tendón intermedio?;Esternocleidomastoideo;Digástrico;Omohioideo;Milohioideo;B;;
260;¿Qué músculo conecta el occipital con el frontal en el cuero cabelludo?;Temporal;Occipitofrontal;Epicráneo;Corrugador;B;;
261;¿Cuántos músculos pectorales se mencionan en el texto?;Uno;Dos;Tres;Cuatro;B;;
262;¿Qué músculo forma la pared posterior de la axila?;Pectoral mayor;Dorsal ancho;Redondo mayor;Subescapular;B;;
263;¿Cuántas cabezas tiene el músculo bíceps braquial?;Una;Dos;Tres;Cuatro;B;;
264;¿Cuántas cabezas tiene el músculo tríceps braquial?;Una;Dos;Tres;Cuatro;C;;
265;¿Qué músculo del antebrazo es el más superficial en el compartimiento anterior?;Braquiorradial;Pronador redondo;Flexor radial del carpo;Palmar largo;B;;
266;¿Cuántos músculos lumbricales tiene cada mano?;2;3;4;5;C;;
267;¿Qué grupo muscular se encuentra en la región tenar de la mano?;Músculos del pulgar;Músculos del meñique;Músculos interóseos;Músculos lumbricales;A;;
268;¿Cuál es el músculo glúteo más grande?;Glúteo menor;Glúteo medio;Glúteo mayor;Tensor de la fascia lata;C;;
269;¿Cuántos músculos gemelos se mencionan en la región glútea?;Uno;Dos;Tres;Cuatro;B;;
270;"¿Qué músculo del muslo tiene el nombre que significa ""sastre""?";Recto femoral;Grácil;Sartorio;Pectíneo;C;;
271;¿Cuántos músculos isquiotibiales se mencionan?;2;3;4;5;B;;
272;¿Qué músculo forma junto con el gastrocnemio el tendón calcáneo o de Aquiles?;Plantar;Sóleo;Poplíteo;Tibial posterior;B;;
273;¿Cuántos planos de músculos plantares se describen en el pie?;2;3;4;5;C;;
274;¿Qué músculo abductor se encuentra en el primer plano plantar del pie?;Abductor del dedo gordo;Abductor del quinto dedo;Ambos;Ninguno;C;;
275;¿Cuántos músculos interóseos dorsales tiene cada pie?;2;3;4;5;C;;
276;¿Qué músculo del abdomen es el más profundo?;Recto del abdomen;Oblicuo externo;Oblicuo interno;Transverso del abdomen;D;;
277;¿Qué músculo principal eleva el párpado superior?;Orbicular del ojo;Elevador del párpado superior;Recto superior;Frontal;B;;
278;¿Qué músculo permite la oposición del pulgar?;Abductor corto;Flexor corto;Oponente del pulgar;Aductor;C;;
279;¿Cuántos músculos peroneos se mencionan en el compartimiento lateral de la pierna?;Uno;Dos;Tres;Cuatro;B;;
280;¿Qué músculo permite la flexión plantar del pie junto con el gastrocnemio?;Tibial anterior;Sóleo;Extensor largo de los dedos;Peroneo largo;B;;
281;¿Cuántas neuronas aproximadamente existen en el sistema nervioso humano?;10 millones;100 millones;100.000 millones;1 billón;C;;
282;¿Cuáles son las tres partes constitutivas de casi todas las neuronas?;Cuerpo celular, dendritas y axón;Soma, núcleo y citoplasma;Dendritas, sinapsis y axón;Pericarion, núcleo y membrana;A;;
283;¿Qué tipo de neurona tiene varias dendritas y un axón?;Unipolar;Bipolar;Multipolar;Tripolar;C;;
284;¿Qué tipo de neurona tiene una dendrita principal y un axón?;Unipolar;Bipolar;Multipolar;Tripolar;B;;
285;¿Qué células gliales se encuentran en el sistema nervioso central?;Células de Schwann y satélite;Astrocitos y células de Schwann;Astrocitos, oligodendrocitos, microglia y ependimarias;Solo oligodendrocitos;C;;
286;¿Qué células gliales se encuentran en el sistema nervioso periférico?;Astrocitos y microglia;Células de Schwann y satélite;Oligodendrocitos y ependimarias;Solo células de Schwann;B;;
287;¿Cuáles son los tres elementos que conforman una sinapsis?;Axón, dendrita y neurotransmisor;Neurona presináptica, postsináptica y hendidura sináptica;Cuerpo celular, axón y sinapsis;Dendrita, soma y axón;B;;
288;¿Qué estructuras conforman el sistema nervioso central?;Médula espinal y nervios;Encéfalo y ganglios;Médula espinal y encéfalo;Cerebro y nervios craneales;C;;
289;¿Qué estructura forma el engrosamiento cervical de la médula espinal?;Plexo lumbosacro;Plexo braquial;Nervios intercostales;Plexo cervical;B;;
290;¿Cuántos segmentos cervicales tiene la médula espinal?;5;7;8;12;C;;
291;¿Cuántos segmentos torácicos tiene la médula espinal?;8;10;12;5;C;;
292;¿Cómo se llama la estructura donde termina la médula espinal?;Filum terminal;Cono medular;Cola de caballo;Cauda equina;B;;
293;¿Qué tipo de raíces emergen por delante de la médula espinal?;Sensitivas;Motoras;Mixtas;Autónomas;B;;
294;¿Qué tipo de raíces ingresan por detrás de la médula espinal?;Motoras;Sensitivas;Mixtas;Somáticas;B;;
295;¿Qué cuerno de la sustancia gris medular es motor?;Cuerno posterior;Cuerno lateral;Cuerno anterior;Cuerno central;C;;
296;¿Qué partes conforman el tronco encefálico?;Cerebro, cerebelo y médula;Bulbo raquídeo, protuberancia y mesencéfalo;Tálamo, hipotálamo y epitálamo;Diencéfalo y telencéfalo;B;;
297;¿Dónde se produce el entrecruzamiento de fibras nerviosas en el tronco encefálico?;Protuberancia;Mesencéfalo;Bulbo raquídeo;Cerebelo;C;;
298;¿Qué estructura se encuentra en la parte media del cerebelo?;Hemisferios cerebelosos;Pedúnculos cerebelosos;Vermis;Corteza cerebelosa;C;;
299;¿Qué función principal tiene el cerebelo?;Regular la temperatura;Controlar la coordinación de movimientos voluntarios;Producir hormonas;Regular el sueño;B;;
300;¿Qué estructuras conforman el diencéfalo?;Cerebro y cerebelo;Bulbo, protuberancia y mesencéfalo;Tálamo, hipotálamo y epitálamo;Corteza y sustancia blanca;C;;
301;¿Cuánto pesa aproximadamente el cerebro humano?;580 gramos;880 gramos;1180 gramos;1580 gramos;C;;
302;¿Qué estructura divide al cerebro en dos hemisferios?;Cisura de Rolando;Cisura de Silvio;Cisura interhemisférica;Cisura perpendicular;C;;
303;¿Qué cisura se conoce también como cisura lateral?;Cisura de Rolando;Cisura de Silvio;Cisura interhemisférica;Cisura perpendicular;B;;
304;¿Qué cisura se conoce también como cisura central?;Cisura de Silvio;Cisura de Rolando;Cisura interhemisférica;Cisura perpendicular;B;;
305;¿Cuántos lóbulos principales se distinguen en la cara lateral del cerebro?;2;3;4;5;C;;
306;¿Cuánto pesa aproximadamente la corteza cerebral?;380 gramos;480 gramos;580 gramos;680 gramos;C;;
307;¿Cuántas capas de células presenta la corteza cerebral?;4;6;8;10;B;;
308;¿En qué área de Brodmann se encuentra el área motora?;Área 3;Área 4;Área 6;Área 9;B;;
309;¿Dónde se ubica el área de lenguaje de Broca?;Circunvolución frontal superior;Circunvolución frontal inferior izquierda;Circunvolución poscentral;Circunvolución temporal;B;;
310;¿Qué áreas de Brodmann corresponden al área sensitiva?;Áreas 1, 2, 3;Áreas 4, 5, 6;Áreas 9, 10, 11;Áreas 17, 18, 19;A;;
311;¿Dónde se encuentra el área visual primaria?;Lóbulo frontal;Lóbulo parietal;Lóbulo temporal;Lóbulo occipital;D;;
312;¿Cuál es el número del área visual primaria según Brodmann?;Área 4;Área 17;Área 43;Área 44;B;;
313;¿Cuántas meninges cubren el sistema nervioso central?;2;3;4;5;B;;
314;¿Cuál es la meninge más profunda en contacto con el tejido nervioso?;Duramadre;Aracnoides;Piamadre;Endostio;C;;
315;¿Cuál es la meninge más superficial y resistente?;Piamadre;Aracnoides;Duramadre;Epineuro;C;;
316;¿Dónde circula el líquido cefalorraquídeo?;Espacio epidural;Espacio subdural;Espacio subaracnoideo;Espacio subpial;C;;
317;¿Cuántos mililitros de líquido cefalorraquídeo tiene un adulto?;50 a 100 ml;100 a 150 ml;150 a 200 ml;200 a 250 ml;B;;
318;¿Dónde se origina principalmente el líquido cefalorraquídeo?;Meninges;Plexos coroideos;Senos venosos;Ganglios;B;;
319;¿Qué estructura conecta el tercer con el cuarto ventrículo?;Foramen de Monro;Acueducto de Silvio;Conducto ependimario;Foramen de Luschka;B;;
320;¿Cuántos pares craneales existen?;10;12;14;16;B;;
321;¿Qué nervio craneal es el olfatorio?;I;II;III;IV;A;;
322;¿Qué nervio craneal es el óptico?;I;II;III;IV;B;;
323;¿Qué nervio craneal es el motor ocular común?;II;III;IV;V;B;;
324;¿Qué nervio craneal inerva al músculo oblicuo superior?;III;IV;V;VI;B;;
325;¿Qué nervio craneal inerva al músculo recto lateral?;III;IV;V;VI;D;;
326;¿Cuántas ramas presenta el nervio trigémino?;2;3;4;5;B;;
327;¿Qué nervio craneal da sensibilidad a los dos tercios anteriores de la lengua?;V;VII;IX;X;B;;
328;¿Qué nervio craneal inerva los músculos de la expresión facial?;V;VI;VII;VIII;C;;
329;¿Qué nervio craneal se conocía antes como nervio acústico?;VI;VII;VIII;IX;C;;
330;¿Cuántas ramas tiene el nervio vestibulococlear?;Una;Dos;Tres;Cuatro;B;;
331;¿Qué nervio craneal inerva el tercio posterior de la lengua?;VII;VIII;IX;X;C;;
332;¿Qué nervio craneal se extiende desde la cabeza hasta el abdomen?;VIII;IX;X;XI;C;;
333;¿Qué nervio craneal inerva los músculos esternocleidomastoideo y trapecio?;IX;X;XI;XII;C;;
334;¿Qué nervio craneal inerva los músculos de la lengua?;X;XI;XII;I;C;;
335;¿Cuántos pares de nervios raquídeos existen?;28;31;33;35;B;;
336;¿Qué plexo inerva el miembro superior?;Cervical;Braquial;Lumbar;Sacro;B;;
337;¿Qué plexos inervan el miembro inferior?;Cervical y braquial;Braquial y lumbar;Lumbar y sacro;Cervical y sacro;C;;
338;¿Qué sistema nervioso controla los movimientos voluntarios?;Autónomo;Somático;Simpático;Parasimpático;B;;
339;¿Cuántas conexiones hacen las neuronas motoras del sistema autónomo?;Una;Dos;Tres;Cuatro;B;;
340;¿Cómo se llaman las fibras que salen del SNC en el sistema autónomo?;Postganglionares;Preganglionares;Motoras;Sensitivas;B;;
341;¿De qué regiones nacen las fibras preganglionares del sistema simpático?;Cervical y sacra;Torácica y lumbar;Cervical y torácica;Lumbar y sacra;B;;
342;¿Qué neurotransmisor libera principalmente el sistema simpático?;Acetilcolina;Noradrenalina;Dopamina;Serotonina;B;;
343;¿De qué regiones se originan las fibras preganglionares del parasimpático?;Torácica y lumbar;Cervical y lumbar;Base del cerebro y región sacra;Cervical y torácica;C;;
344;¿Qué neurotransmisor libera principalmente el sistema parasimpático?;Noradrenalina;Dopamina;Acetilcolina;Serotonina;C;;
345;¿Qué mide la glándula hipófisis de diámetro?;0,5-1 cm;1-1,5 cm;1,5-2 cm;2-2,5 cm;B;;
346;¿En qué estructura ósea descansa la hipófisis?;Silla turca del esfenoides;Lámina cribosa del etmoides;Foramen magno del occipital;Fosa mandibular del temporal;A;;
347;¿Qué porcentaje del peso total de la hipófisis constituye la adenohipófisis?;50%;60%;75%;90%;C;;
348;¿Qué células de la adenohipófisis secretan hormona de crecimiento?;Tirotropas;Somatotropas;Gonadotropas;Lactotropas;B;;
349;¿Qué hormona secretan las tirotropas?;FSH;LH;TSH;ACTH;C;;
350;¿Cuántas hormonas secretan las gonadotropas?;Una;Dos;Tres;Cuatro;B;;
351;¿Qué hormona secreta el núcleo paraventricular del hipotálamo?;Vasopresina;Oxitocina;TSH;ACTH;B;;
352;¿Qué hormona secreta el núcleo supraóptico del hipotálamo?;Oxitocina;Hormona antidiurética;Prolactina;Somatotropina;B;;
353;¿Cuánto pesa normalmente la glándula tiroides?;10 gramos;20 gramos;30 gramos;40 gramos;C;;
354;¿Qué estructura conecta los lóbulos laterales de la tiroides?;Lóbulo piramidal;Istmo;Folículos tiroideos;Células parafoliculares;B;;
355;¿Cuántas hormonas tiroideas principales secretan las células foliculares?;Una;Dos;Tres;Cuatro;B;;
356;¿Qué células de la tiroides producen calcitonina?;Células foliculares;Células parafoliculares o células C;Células principales;Células oxífilas;B;;
357;¿Cuántas glándulas paratiroides existen?;Dos;Cuatro;Seis;Ocho;B;;
358;¿Qué hormona producen las glándulas paratiroides?;Calcitonina;Hormona paratiroidea;Tiroxina;Triyodotironina;B;;
359;¿Qué porcentaje de la glándula suprarrenal conforma la corteza?;50-60%;60-70%;70-80%;80-90%;D;;
360;¿Cuántos gramos pesa cada glándula suprarrenal?;1,5-3 gramos;3,5-5 gramos;5,5-7 gramos;7,5-9 gramos;B;;
361;¿Qué hormona mineralocorticoide es la más importante?;Cortisol;Aldosterona;Adrenalina;Noradrenalina;B;;
362;¿Qué porcentaje de las células pancreáticas forman los acinos?;75%;85%;95%;99%;D;;
363;¿Cuántos millones de islotes pancreáticos existen aproximadamente?;0,5-1 millones;1-2 millones;2-3 millones;3-4 millones;B;;
364;¿Qué porcentaje de células de los islotes pancreáticos son células beta?;17%;50%;70%;85%;C;;
365;¿Qué hormona secretan las células alfa del páncreas?;Insulina;Glucagón;Somatostatina;Polipéptido pancreático;B;;
366;¿Qué hormona secretan las células beta del páncreas?;Glucagón;Insulina;Somatostatina;Polipéptido pancreático;B;;
367;¿Qué masa tiene la glándula pineal?;0,05-0,1 gramos;0,1-0,2 gramos;0,2-0,3 gramos;0,3-0,4 gramos;B;;
368;¿Qué hormona secreta la glándula pineal?;Serotonina;Melatonina;Dopamina;Noradrenalina;B;;
369;¿Dónde está localizado el timo?;Detrás del corazón;Detrás del esternón entre los pulmones;Encima de los riñones;En la base del cerebro;B;;
370;¿Qué órgano produce la hormona eritropoyetina?;Corazón;Hígado;Riñones;Bazo;C;;
371;¿Cuál es la longitud aproximada del tracto gastrointestinal en una persona viva?;3-4 metros;5-7 metros;8-10 metros;11-13 metros;B;;
372;¿Cuántas capas de tejido presenta la pared del tracto gastrointestinal?;2;3;4;5;C;;
373;¿Cada cuántos días se renuevan las células epiteliales del tracto gastrointestinal?;3-4 días;5-7 días;8-10 días;10-12 días;B;;
374;¿Qué tipo de epitelio reviste la boca, faringe y esófago?;Epitelio cilíndrico simple;Epitelio pavimentoso estratificado no queratinizado;Epitelio cúbico simple;Epitelio pseudoestratificado;B;;
375;¿Qué plexo nervioso se encuentra en la submucosa del tubo digestivo?;Plexo mientérico;Plexo submucoso;Plexo celiaco;Plexo solar;B;;
376;¿Qué estructura carece de serosa y presenta adventicia?;Estómago;Intestino delgado;Esófago;Intestino grueso;C;;
377;¿Cuántos dientes permanentes tiene un adulto?;20;24;28;32;D;;
378;¿Qué estructura dental está compuesta por una masa blanda con nervios y vasos sanguíneos?;Esmalte;Dentina;Cemento;Pulpa dentaria;D;;
379;¿Cuál es la longitud aproximada de la faringe?;8 cm;10 cm;13 cm;15 cm;C;;
380;¿Cuál es la longitud aproximada del esófago?;15 cm;20 cm;25 cm;30 cm;C;;
381;¿Cuántos mililitros de jugo gástrico se producen por día?;500-1000 ml;1000-1500 ml;2000-3000 ml;3000-4000 ml;C;;
382;¿Cuántas capas de músculo liso tiene la muscular del estómago?;Una;Dos;Tres;Cuatro;C;;
383;¿Cuál es la longitud aproximada del duodeno?;Tiene forma de C;Mide 1 metro;Mide 2 metros;Mide 3 metros;A;;
384;¿Cuál es la longitud aproximada del yeyuno?;0,5 metros;1 metro;2 metros;3 metros;B;;
385;¿Cuál es la longitud aproximada del íleon?;1 metro;2 metros;3 metros;4 metros;B;;
386;¿Cuántos mililitros de jugo intestinal se producen por día?;500 ml a 1 litro;1 a 2 litros;2 a 3 litros;3 a 4 litros;B;;
387;¿Cuál es la longitud aproximada del intestino grueso?;0,5 metros;1 metro;1,5 metros;2 metros;C;;
388;¿Cuál es el diámetro aproximado del intestino grueso?;3,5 cm;4,5 cm;6,5 cm;8,5 cm;C;;
389;¿Cuántos centímetros mide aproximadamente el ciego?;3 cm;6 cm;9 cm;12 cm;B;;
390;¿Cuántos centímetros mide aproximadamente el apéndice vermiforme?;4 cm;6 cm;8 cm;10 cm;C;;
391;¿Cuántos centímetros miden los últimos segmentos del recto que forman el conducto anal?;1 o 2 cm;2 o 3 cm;4 o 5 cm;6 o 7 cm;B;;
392;¿Qué conducto excretor corresponde a las glándulas parótidas?;Conducto de Warthon;Conducto de Stenon;Conducto de Rivinius;Conducto de Wirsung;B;;
393;¿Qué conducto excretor corresponde a las glándulas submaxilares?;Conducto de Stenon;Conducto de Warthon;Conducto de Rivinius;Conducto de Santorini;B;;
394;¿Qué porcentaje del hígado forma el lóbulo derecho en comparación con el izquierdo?;Es igual;Es ligeramente mayor;Es mucho mayor;Es menor;C;;
395;¿Cuál es la longitud aproximada del páncreas?;8-10 cm;10-12 cm;12-15 cm;15-18 cm;C;;
396;¿Cuál es el grosor aproximado del páncreas?;1,5 cm;2,5 cm;3,5 cm;4,5 cm;B;;
397;¿Qué fermento de la saliva transforma el almidón en azúcar?;Pepsina;Renina;Ptialina;Tripsina;C;;
398;¿Qué estructura cierra la laringe durante la deglución?;Úvula;Epiglotis;Glotis;Cartílago tiroides;B;;
399;¿Cuántas veces late el corazón aproximadamente por día?;50000;75000;100000;125000;C;;
400;¿Cuántos gramos pesa aproximadamente el corazón?;150-200 gr;200-250 gr;250-300 gr;300-350 gr;C;;
401;¿Cuál es la longitud aproximada del corazón?;8 cm;10 cm;12 cm;14 cm;C;;
402;¿Cuál es el ancho máximo del corazón?;6 cm;7 cm;9 cm;11 cm;C;;
403;¿Qué porcentaje de la pared cardíaca representa el miocardio?;75%;85%;95%;100%;C;;
404;¿Dónde se localiza el nodo sinoauricular?;Ventrículo izquierdo;Aurícula derecha;Ventrículo derecho;Aurícula izquierda;B;;
405;¿Cuántos lóbulos tiene el pulmón derecho?;Uno;Dos;Tres;Cuatro;C;;
406;¿Cuántos lóbulos tiene el pulmón izquierdo?;Uno;Dos;Tres;Cuatro;B;;
407;¿Qué porcentaje de agua contiene el plasma sanguíneo?;81,50%;85,50%;91,50%;95,50%;C;;
408;¿Qué porcentaje de solutos contiene el plasma sanguíneo?;4,50%;6,50%;8,50%;10,50%;C;;
409;¿Qué porcentaje de las proteínas plasmáticas corresponde a la albúmina?;38%;45%;54%;62%;C;;
410;¿Qué porcentaje de las proteínas plasmáticas corresponde a las globulinas?;28%;38%;48%;58%;B;;
411;¿Cuántos millones de eritrocitos hay por microlitro de sangre aproximadamente?;3,4 millones;4,4 millones;5,4 millones;6,4 millones;C;;
412;¿Cuál es la vida media de los eritrocitos?;90 días;100 días;120 días;150 días;C;;
413;¿Cuántos leucocitos hay aproximadamente por microlitro de sangre?;1000 a 3000;3000 a 8000;5000 a 10000;10000 a 15000;C;;
414;¿Cuántas plaquetas hay aproximadamente por microlitro de sangre?;30000 a 100000;80000 a 200000;130000 a 400000;400000 a 600000;C;;
415;¿Cuál es la vida promedio de las plaquetas?;2 a 4 días;5 a 9 días;10 a 14 días;15 a 20 días;B;;
416;¿Cuánto dura aproximadamente la sístole auricular?;0,1 segundos;0,2 segundos;0,3 segundos;0,4 segundos;A;;
417;¿Cuánto dura aproximadamente la sístole ventricular?;0,1 segundos;0,2 segundos;0,3 segundos;0,4 segundos;C;;
418;¿Cuánto dura aproximadamente la diástole completa?;0,2 segundos;0,3 segundos;0,4 segundos;0,5 segundos;C;;
419;¿Cuál es la longitud de la tráquea?;8 cm;10 cm;12 cm;14 cm;C;;
420;¿Cuál es el diámetro de la tráquea?;1,5 cm;2,5 cm;3,5 cm;4,5 cm;B;;
421;¿Cuántos anillos de cartílago hialino tiene la tráquea?;10 a 15;12 a 18;16 a 20;20 a 25;C;;
422;¿Cuál es la longitud de la laringe?;2 cm;3 cm;4 cm;5 cm;C;;
423;¿Cuántos cartílagos impares tiene la laringe?;Dos;Tres;Cuatro;Cinco;B;;
424;¿Cuántos cartílagos pares tiene la laringe?;Dos;Tres;Cuatro;Cinco;B;;
425;¿Cuántos bronquios lobares tiene el pulmón derecho?;Uno;Dos;Tres;Cuatro;C;;
426;¿Cuántos bronquios lobares tiene el pulmón izquierdo?;Uno;Dos;Tres;Cuatro;B;;
427;¿Cuántos litros de sangre tienen generalmente los adultos?;2 a 4 litros;4 a 6 litros;6 a 8 litros;8 a 10 litros;B;;
428;¿Qué porcentaje de la sangre en reposo se encuentra en las venas sistémicas?;44%;54%;64%;74%;C;;
429;¿Cuál es el diámetro de los capilares sanguíneos?;1 a 3 μm;3 a 5 μm;5 a 10 μm;10 a 15 μm;C;;
430;¿Cuántas nefronas aproximadamente existen en cada riñón?;0,6 millones;0,9 millones;1,2 millones;1,5 millones;C;;
431;¿Cuál es la longitud de un riñón adulto típico?;6 a 8 cm;8 a 10 cm;10 a 12 cm;12 a 14 cm;C;;
432;¿Cuál es el ancho de un riñón adulto típico?;3 a 5 cm;5 a 7 cm;7 a 9 cm;9 a 11 cm;B;;
433;¿Cuánto pesa un riñón típico?;85 a 100 gramos;115 a 130 gramos;135 a 150 gramos;165 a 180 gramos;C;;
434;¿Cuántos cálices menores tiene cada riñón?;2 a 6;4 a 10;8 a 18;20 a 25;C;;
435;¿Cuántos cálices mayores tiene cada riñón?;1;2 o 3;4 o 5;6 o 7;B;;
436;¿Cuál es la longitud de cada uréter?;15-20 cm;20-25 cm;25-30 cm;30-35 cm;C;;
437;¿Cuál es el diámetro máximo del uréter cerca de la vejiga?;5 mm;7 mm;10 mm;12 mm;C;;
438;¿Cuál es la capacidad promedio de la vejiga urinaria?;300 y 400 ml;500 y 600 ml;700 y 800 ml;900 y 1000 ml;C;;
439;¿Cuál es la longitud de la uretra femenina?;1 a 2 cm;3 a 4 cm;5 a 6 cm;7 a 8 cm;B;;
440;¿Cuál es la longitud de la uretra masculina?;10 cm;14 cm;18 cm;22 cm;C;;
441;¿Cuántos grados por debajo de la temperatura corporal central debe estar la temperatura de los testículos para la producción normal de espermatozoides?;1-2°C;2-3°C;3-4°C;4-5°C;B;;
442;¿Cuál es la longitud aproximada de cada testículo?;2 cm;3 cm;4 cm;5 cm;C;;
443;¿Cuál es el diámetro aproximado de cada testículo?;1,5 cm;2,5 cm;3,5 cm;4,5 cm;B;;
444;¿Qué células producen testosterona en los testículos?;Células de Sertoli;Células intersticiales o de Leydig;Células espermatogénicas;Células de la granulosa;B;;
445;¿Cuál es la longitud aproximada del epidídimo?;2 cm;3 cm;4 cm;5 cm;C;;
446;¿Cuál es la longitud aproximada del conducto deferente?;25 cm;35 cm;45 cm;55 cm;C;;
447;¿Cuál es la longitud aproximada de cada conducto eyaculador?;1 cm;2 cm;3 cm;4 cm;B;;
448;¿Cuántos mililitros de semen se eyaculan típicamente?;0,5 a 2 ml;1 a 3 ml;2,5 a 5 ml;5 a 7 ml;C;;
449;¿Cuántos millones de espermatozoides contiene una eyaculación típica?;10 a 50 millones;20 a 80 millones;50 a 150 millones;150 a 250 millones;C;;
450;¿Qué porcentaje del volumen del semen constituye la secreción de las vesículas seminales?;30%;40%;50%;60%;D;;
451;¿Qué porcentaje del volumen del semen constituye la secreción prostática?;10-15%;15-20%;25-30%;35-40%;C;;
452;¿Cuál es la longitud aproximada de la próstata?;2 cm;3 cm;4 cm;5 cm;C;;
453;¿Cuál es el ancho aproximado de la próstata?;2 cm;3 cm;4 cm;5 cm;B;;
454;¿Cuál es el grosor aproximado de la próstata?;1 cm;2 cm;3 cm;4 cm;B;;
455;¿Cuál es el diámetro aproximado de las glándulas bulbouretrales?;0,5 cm;1 cm;1,5 cm;2 cm;B;;
456;¿Cuál es la longitud del conducto de las glándulas bulbouretrales?;1,5 cm;2,5 cm;3,5 cm;4,5 cm;B;;
457;¿Cuántas horas pueden sobrevivir los espermatozoides en el tracto reproductor femenino?;24 horas;36 horas;48 horas;72 horas;C;;
