id;question;option_a;option_b;option_c;option_d;answer_letter
17;¿Qué afirma Sigmund Freud sobre la religión?;Es una droga;Es una proyección humana;Es una ilusión necesaria;Es una psicosis colectiva;D
18;¿Qué hizo Federico Nietzsche con Dios según el documento?;Lo cuestionó;Lo mata para que el hombre nazca libre;Lo reinterpretó;Lo negó filosóficamente;B
19;¿Qué descubrió Freud según el documento?;El mundo de la razón;El mundo de las ideas;El mundo de los valores;El mundo de los instintos;D
20;¿Qué tipo de arqueología produce Freud según el documento?;Arqueología histórica;Arqueología cultural;Arqueología filosófica;Arqueología mental;D
21;¿En qué fecha comenzó la Segunda Guerra Mundial?;1 de agosto de 1939;1 de octubre de 1939;2 de septiembre de 1939;1 de septiembre de 1939;D
22;¿En qué fecha finalizó la Segunda Guerra Mundial?;2 de septiembre de 1945;1 de agosto de 1945;6 de agosto de 1945;1 de septiembre de 1945;A
23;¿Qué países formaron las potencias del Eje en la Segunda Guerra Mundial?;Alemania Francia y Rusia;Estados Unidos Inglaterra y Francia;Alemania Italia y Japón;Italia Japón y España;C
24;¿Qué países formaron los Aliados principales en la Segunda Guerra Mundial?;Alemania Italia y Japón;Inglaterra España y Portugal;Estados Unidos Francia y Rusia;Rusia China y Japón;C
25;¿En qué fecha ocurrió el bombardeo de Hiroshima?;2 de septiembre de 1945;1 de septiembre de 1945;20 de julio de 1945;6 de agosto de 1945;D
26;¿En qué años vivió Adolfo Hitler?;1856-1939;1889-1945;1870-1940;1900-1945;B
27;¿Cuántos años duró la Segunda Guerra Mundial?;Cinco años;Cuatro años;Siete años;Seis años y un día;D
28;¿Entre cuántos millones de personas se cifra la pérdida de vidas en la Segunda Guerra Mundial?;30 a 40 millones;40 a 50 millones;60 a 80 millones;50 a 70 millones;D
29;¿Quién había dicho que la característica más destacada de la multitud era la palabrería sin compromiso?;Federico Nietzsche;Martín Heidegger;Juan Pablo Sartre;Severino Kierkegaard;D
30;¿Qué corriente filosófica del siglo XX toma como punto de partida la situación existencial del hombre?;El positivismo;El racionalismo;El estructuralismo;El existencialismo;D
31;¿Qué filósofo existencialista alemán estuvo influenciado por Kierkegaard y Nietzsche?;Karl Jaspers;Jean-Paul Sartre;Gabriel Marcel;Martín Heidegger;D
32;¿En qué años vivió Juan Pablo Sartre?;1889-1976;1913-1960;1883-1955;1905-1980;D
33;¿En qué década se desarrolló particularmente el existencialismo de Sartre?;Década de los treinta;Década de los cincuenta;Década de los sesenta;Década de los cuarenta;D
34;¿A qué movimiento se adhirió más tarde Juan Pablo Sartre?;Movimiento estructuralista francés;Movimiento positivista francés;Movimiento fenomenológico francés;Movimiento marxista francés;D
35;¿Qué afirmaba Sartre sobre el existencialismo?;Es un irracionalismo;Es un nihilismo;Es un materialismo;Es un humanismo;D
36;¿A qué tipo de existencialismo pertenece el pensamiento de Sartre?;Existencialismo cristiano;Existencialismo teísta;Existencialismo humanista;Existencialismo ateo;D
37;¿Qué expresión de Nietzsche analiza Sartre sobre la situación del hombre?;El superhombre ha llegado;El eterno retorno;La voluntad de poder;Dios ha muerto;D
38;Según Sartre ¿qué precede a la esencia en el ser humano?;La razón;La consciencia;El espíritu;La existencia;D
39;¿A qué está condenado el hombre según Sartre?;A la angustia;A la muerte;A ser libre;A la desesperación;C
40;¿Qué tipo de ser describe Sartre como el ser urbano del siglo XX?;Un ser determinado;Un ser esencial;Un ser racional;Un ser extranjero en un mundo sin sentido;D
41;¿En qué años vivió Simona de Beauvoir?;1889-1976;1913-1960;1905-1980;1908-1986;D
42;¿Dónde conoció Juan Pablo Sartre a Simona de Beauvoir?;En la Sorbona;En un congreso filosófico;En la universidad;En un café parisino;D
43;¿Qué obra escribió Simona de Beauvoir en 1949?;El ser y la nada;La condición humana;El extranjero;El segundo sexo;D
44;¿Qué analiza Simona de Beauvoir en su obra principal?;La condición existencial;La condición proletaria;La condición humana universal;La condición femenina;D
45;¿En qué siglo surgió el movimiento femenino según el documento?;Siglo XVIII;Siglo XX;Siglo XVII;Siglo XIX;D
46;¿En qué país surgió el movimiento femenino?;Francia;Estados Unidos;Alemania;Inglaterra;D
47;¿Quién fue una de las pioneras del movimiento femenino mencionada en el documento?;María Zambrano;Eleanor Marx;Simona de Beauvoir;Flora Tristán;D
48;¿En qué fecha alunizó el Apolo 11?;6 de agosto de 1969;1 de septiembre de 1969;21 de junio de 1970;20 al 21 de junio de 1969;D
49;¿Quién fue el primer hombre en pisar la Luna?;Buzz Aldrin;Michael Collins;John Glenn;Neil Armstrong;D
50;¿Qué frase dijo Neil Armstrong al pisar la Luna?;Un momento histórico para la ciencia;Un logro de la tecnología;Este es el futuro de la humanidad;Un paso pequeño para un ser humano pero un gran paso para la humanidad;D
51;¿Cómo se llamaba oficialmente la misión del Apolo 11?;Proyecto Luna;AS-506;Apolo Lunar;Misión Lunar 11;B
52;¿Contra qué programa espacial competía la NASA con el Apolo 11?;Programa espacial chino;Programa espacial europeo;Programa espacial japonés;Programa espacial de la Unión Soviética;D
53;¿En qué años vivió Alberto Camus?;1905-1980;1908-1986;1889-1976;1913-1960;D
54;¿Qué característica tienen Alberto Camus y varios escritores de su tiempo?;El uso de la razón pura;El uso del método dialéctico;El uso de la fenomenología;El empleo de la palabra en el teatro del absurdo;D
55;¿Qué explora Alberto Camus según el documento?;La razón absoluta;La esencia humana;La dialéctica histórica;La condición humana de aislamiento;D
56;¿Qué tipo de humanismo esboza Alberto Camus?;Humanismo cristiano;Humanismo existencialista;Humanismo marxista;Humanismo liberal;D
57;¿Qué rechazaba el humanismo de Camus?;Los valores universales;La razón humana;La libertad individual;Los aspectos dogmáticos del cristianismo y del marxismo;D
58;¿En qué años vivió Hannah Arendt?;1905-1980;1908-1986;1913-1960;1906-1975;D
59;¿Qué es Hannah Arendt según el documento?;Novelista y poeta;Filósofa y lógica;Socióloga y antropóloga;Escritora y teórica política;D
60;¿Como qué es defendida la teoría política de Hannah Arendt?;Como un totalitarismo;Como un liberalismo;Como un comunitarismo;Como un pluralismo;D
61;¿Qué tipo de democracia prefiere Hannah Arendt?;Democracia liberal;Democracia totalitaria;Democracia representativa;Democracia directa o sistema de consejos;D
62;¿Qué es el raciovitalismo según el documento?;Teoría que funda el conocimiento en la razón pura;Teoría que funda el conocimiento en la intuición;Teoría que funda el conocimiento en la fe;Teoría que funda el conocimiento en la realidad radical de la vida;D
63;¿Quién propuso el modelo de razón vital?;María Zambrano;Julián Marías;Miguel de Unamuno;José Ortega y Gasset;D
64;¿En qué años vivió José Ortega y Gasset?;1889-1976;1904-1991;1905-1980;1883-1955;D
65;¿Qué tipo de razón busca superar la razón vital propuesta por Ortega y Gasset?;La razón dialéctica;La razón histórica;La razón práctica;La razón pura;D
66;¿En qué años vivió María Zambrano?;1883-1955;1906-1975;1908-1986;1904-1991;D
67;¿Cuál es el núcleo central del pensamiento de María Zambrano?;La razón histórica;La razón dialéctica;La razón práctica;La razón poética;D
68;¿A qué conduce la razón vital según Ortega y Gasset?;A la razón pura;A la razón práctica;A la razón poética;A la razón histórica;D
69;¿Para qué se usa el término postmodernismo?;Para designar movimientos científicos del siglo XIX;Para designar movimientos religiosos;Para designar movimientos políticos;Para designar movimientos culturales artísticos y filosóficos del siglo XX;D
70;¿Cuándo aparecieron las diferentes corrientes del movimiento postmoderno?;Durante la primera mitad del siglo XIX;Durante la primera mitad del siglo XX;Durante la segunda mitad del siglo XIX;Durante la segunda mitad del siglo XX;D
71;¿Qué comparten todas las corrientes postmodernas según el documento?;Que el proyecto moderno triunfó;Que la modernidad es eterna;Que el progreso es inevitable;Que el proyecto moderno fracasó;D
72;¿Quiénes son dos representantes del postmodernismo mencionados en el documento?;Heidegger y Sartre;Ortega y Gasset y Zambrano;Lyotard y Vattimo;Camus y Beauvoir;C
73;¿Quién había analizado de cerca la evolución del progreso científico?;Karl Popper;Tomás Kuhn;Imre Lakatos;Gastón Bachelard;D
74;¿Cómo procede el progreso científico según Bachelard?;Por acumulación y continuidad;Por deducciones lógicas;Por intuiciones;Por rupturas y discontinuidades;D
75;¿Qué propone Tomás Kuhn sobre las revoluciones científicas?;Que la ciencia progresa linealmente;Que la ciencia no progresa;Que la ciencia es acumulativa;Que la ciencia progresa a saltos;D
76;¿Qué es un paradigma según Kuhn?;Una teoría falsada;Un método científico;Un conjunto de datos;Algo encarnado frecuentemente por un genio;D
77;¿Qué científicos menciona el documento como genios que encarnan paradigmas?;Newton Einstein y Bohr;Aristóteles Descartes y Kant;Bacon Hume y Comte;Copérnico Galilei y Darwin;D
78;¿Qué pretende Karl Popper sobre el progreso de la ciencia?;Que progresa por acumulación;Que progresa por intuición;Que progresa por inducción;Que progresa cuando encuentra defectos de una teoría;D
79;¿Qué es científico según Karl Popper?;Lo verificable;Lo observable;Lo inductivo;Lo falsable;D
80;¿Qué surge frente a la crisis ecológica global según el documento?;La bioética;La tecnociencia;La ecología política;La ecosofía;D
81;¿Qué han puesto en cuestión los ecofilósofos?;La teoría de la evolución biológica;El método científico;La razón humana;La propia idea de la evolución fundada en la modernidad;D
82;¿Dónde coloca la modernidad al hombre según los ecofilósofos?;Junto a la naturaleza;Como parte de la naturaleza;Como observador de la naturaleza;Como dueño de la naturaleza en la posición más alta;D
83;¿Quién propone que el hombre debe estar junto y en medio del agua la tierra las plantas y los animales?;Hannah Arendt;Karl Popper;Gastón Bachelard;Felix Guattari;D
84;¿A qué han recurrido muchos ecofilósofos en su crítica a la manera moderna de pensar?;A las ciencias exactas;A la lógica formal;A la metafísica clásica;A ideas y pensamientos de otras culturas;D
85;¿Qué han estudiado los ecofilósofos con el objetivo de reencontrar algo perdido?;Las civilizaciones antiguas;Los textos filosóficos clásicos;Las teorías científicas modernas;Ideas y costumbres de pueblos naturales o poblaciones autóctonas;D
86;¿Qué principio se menciona para evitar acciones que pongan en peligro generaciones futuras?;Principio de causalidad;Principio de utilidad;Principio de autonomía;Principio de responsabilidad;D
87;¿Dónde fue notificado por primera vez el brote de coronavirus?;En Tokio;En Nueva York;En Madrid;En la ciudad china de Wuhan;D
88;¿En qué fecha fue notificado por primera vez el brote de coronavirus?;1 de enero de 2020;6 de marzo de 2020;20 de diciembre de 2019;31 de diciembre de 2019;D
89;¿Durante qué años fue declarada pandemia el Covid-19?;2019 al 2020;2018 al 2019;2021 al 2022;2020 al 2021;D
90;¿En qué siglo cuestionaron los sofistas la posibilidad del conocimiento fiable y objetivo?;Siglo IV a.C.;Siglo VI a.C.;Siglo III a.C.;Siglo V a.C.;D
91;¿Qué argumentaba Gorgias sobre la existencia y el conocimiento?;Que todo existe y puede ser conocido;Que la existencia es evidente;Que el conocimiento es universal;Que nada realmente existe y si existiera no podría ser conocido;D
92;¿Qué mantenía Protágoras sobre las opiniones?;Que existe una opinión verdadera universal;Que la razón determina la verdad;Que la ciencia establece la verdad;Que no se puede afirmar que la opinión de una persona sea más correcta que la de otra;D
93;¿De qué se ocupa la epistemología según el documento?;Del estudio de los valores;Del estudio del ser;Del estudio de la lógica;Del estudio del conocimiento científico;D
94;¿Qué busca explicar y prescribir la epistemología además de decir qué es la ciencia?;Métodos educativos;Valores morales;Estructuras lógicas;Criterios de cientificidad;D
95;¿Qué significa literalmente epistemología?;Estudio de la verdad;Estudio del ser;Conocimiento del alma;Discursos sobre la ciencia;D
96;¿Qué característica tienen las corrientes epistemológicas según el documento?;Son idénticas y complementarias;Son escasas y simples;Son unificadas y coherentes;Son diferentes y a veces contradictorias;D
97;¿Qué tipo de ciencias surgieron de la reflexión filosófica según el documento?;Solo las ciencias sociales;Solo las ciencias naturales;Solo las ciencias formales;Las ciencias la investigación y la tecnología;D
98;¿Qué llevó al hombre a la luna según el documento?;El desarrollo tecnológico;El poder político;La competencia militar;La extrañeza de la existencia;D
99;¿Qué necesita el problema ecológico a escala planetaria según el documento?;Solo soluciones tecnológicas;Solo políticas ambientales;Solo cambios económicos;Respuestas a las dificultades ambientales y éticas de la tecnociencia;D
100;¿Qué han señalado personas en círculos científicos durante los últimos años del siglo XX?;Que la ciencia ha llegado a su fin;Que la ciencia es perfecta;Que no hay cambios en la ciencia;Que la manera científica de pensar se encuentra ante un cambio de paradigma;D
1;¿En qué año Guillermo Francovich estaba preocupado por la teoría de que la cultura occidental estaba en decadencia?;1939;1934;1945;1946;B
2;¿Qué libro publicó Guillermo Francovich en 1939 que tuvo éxito rotundo en Brasil?;La filosofía en Bolivia;Filósofos brasileños;Despertar y proyecto del filosofar latinoamericano;Teoría y crítica del pensamiento latinoamericano;B
3;¿En qué año Francisco Romero comenzó a publicar una sección de estudios sobre la filosofía en América?;1934;1939;1945;1954;C
4;¿Quién propuso en 1945 un esquema de evolución histórica del pensamiento en casi todos los países latinoamericanos?;J. Gaos;M. Bunge;Francisco Romero;G. Francovich;B
5;¿En qué año Francisco Miró Quesada Canturias publicó su libro sobre el filosofar latinoamericano?;1945;1954;1957;1968;B
6;¿Cuántas generaciones distingue Francisco Miró Quesada en la actitud de los pensadores latinoamericanos respecto a la filosofía europea?;Tres;Cinco;Cuatro;Seis;C
7;"¿Quién publicó ""Esbozo de una filosofía en el Brasil"" en 1957?";Leopoldo Zea;Joao Cruz Costa;Augusto Salazar Bondy;Francisco Romero;B
8;"¿Desde qué año la Editorial Fondo de Cultura Económica publicó la serie ""La historia de las ideas en América""?";1945;1954;1956;1968;C
9;¿Qué instituciones financiaron la publicación de la serie sobre historia de las ideas en América?;La OEA y UNESCO;La Comisión Panamericana de las Ideas y la Fundación Rockefeller;El Banco Mundial y la ONU;La Fundación Ford y el BID;B
10;¿En qué año Augusto Salazar Bondy se preguntó si existe una filosofía en nuestra América?;1954;1963;1968;1981;C
11;"¿Quién escribió ""Teoría y crítica del pensamiento latinoamericano"" en 1981?";Enrique Dussel;Arturo Andrés Roig;Rodolfo Kusch;Leopoldo Zea;B
12;¿En qué mes y año Juan José Bautista Segales publicó su obra sobre pensar desde América Latina?;sep-14;ene-14;mar-14;dic-14;A
13;¿Cuántos periodos históricos desarrolla Guillermo Francovich en su esquema cronológico?;Cinco;Seis;Siete;Ocho;C
14;¿En qué año terminó de escribir Guillermo Francovich su esquema de periodos históricos?;1939;1941;1945;1954;B
15;¿Cómo se conoce al pensamiento de la época prehispánica en el esquema de Francovich?;La mentalidad indígena;La mentalidad primitiva;El pensamiento autóctono;La cultura ancestral;B
16;¿Qué produjo dramáticas transformaciones en la organización de la vida de los pobladores del continente según el texto?;La revolución industrial;La llegada de los conquistadores españoles;Las guerras de independencia;El comercio con Europa;B
17;¿Qué caracterizó al enciclopedismo como periodo según Francovich?;El desarrollo del comercio;La ilustración de maestros y clérigos universitarios;La independencia política;El desarrollo agrícola;B
18;¿Quién fue Antonio Destutt de Tracy?;Un filósofo escolástico;Un militar y filósofo enciclopedista;Un teólogo jesuita;Un político revolucionario;B
19;¿En qué década se introdujo el pensamiento escocés de la Escuela de Edimburgo en Bolivia?;1820;1830;1840;1850;B
20;¿Con qué ley se reorganizó la instrucción pública en Bolivia en 1845?;Ley de Reforma Educativa;Ley Orgánica;Ley de Instrucción Superior;Ley General de Educación;B
21;¿En la filosofía de qué pensador se inspira el método eclecticismo?;Auguste Comte;Víctor Cousin;Antonio Destutt de Tracy;Hegel;B
22;¿Qué corrientes filosóficas une el eclecticismo según el texto?;Idealismo, materialismo, escepticismo y misticismo;Positivismo, marxismo y existencialismo;Racionalismo, empirismo y criticismo;Fenomenología, hermenéutica y estructuralismo;A
23;¿De quién es la filosofía que tuvo difusión universal e influyó en América del Sur a fines del siglo XIX?;Víctor Cousin;Auguste Comte;Karl Marx;Edmund Husserl;B
24;¿A partir de qué año comenzaron a aplicarse las teorías marxistas en la región latinoamericana?;1900;1910;1920;1930;C
25;¿Qué movimiento filosófico del siglo XX describe las estructuras de la experiencia tal como se presentan en la conciencia?;El existencialismo;El positivismo;La fenomenología;El marxismo;C
26;¿En qué década nació la teología de la liberación en Sudamérica?;1950;1960;1970;1980;B
27;¿Qué evento se realizó en 1968 que fue importante para la teología de la liberación?;El Concilio Vaticano II;La Conferencia Episcopal de Medellín;El Sínodo de Obispos;La Conferencia de Puebla;B
28;¿Entre qué años se realizó el Concilio Vaticano II?;1960-1963;1962-1965;1965-1968;1958-1962;B
29;¿En qué país surgió el movimiento de filosofía de la liberación a comienzos de la década de 1970?;Brasil;Perú;México;Argentina;D
30;¿Cómo califica la filosofía de la liberación a la filosofía clásica?;Racionalista y abstracta;Eurocéntrica y opresora;Idealista y metafísica;Materialista y dialéctica;B
31;¿Cómo se llama el método elaborado por la filosofía de la liberación que relaciona lo universal con lo particular?;Dialéctica;Hermenéutica;Analéctica;Fenomenológica;C
32;"¿En qué año Enrique Dussel publicó su libro ""Filosofía de la Liberación"" en el exilio en México?";1970;1973;1977;1981;C
33;¿En qué ciudad de Argentina sufrió Enrique Dussel un atentado?;Buenos Aires;Córdoba;Mendoza;Rosario;C
34;¿Cuál es el contenido de la ética según la ética de la liberación?;La justicia social;La vida humana;La libertad política;Los derechos humanos;B
35;¿Quién elaboró una teología económica de la liberación como alternativa a la teología neoliberal del mercado?;Enrique Dussel;Gustavo Gutiérrez;Franz Hinkelammert;Leonardo Boff;C
36;¿Cuál es la categoría principal en la propuesta de Franz Hinkelammert?;El mercado;La libertad;La vida;La justicia;C
37;¿Cuáles son los dos momentos constitutivos del poder según Dussel?;Poder político y poder económico;Potentia y potestas;Poder ejecutivo y legislativo;Poder material y formal;B
38;¿En qué años vivió Alejandro Korn?;1850-1926;1860-1936;1870-1946;1880-1956;B
39;¿En qué años vivió José Vasconcelos Calderón?;1872-1949;1882-1959;1892-1969;1902-1979;B
40;¿En qué años vivió Guillermo Francovich Salazar?;1891-1983;1901-1993;1911-2003;1921-2013;B
41;¿En qué años vivió Leopoldo Zea Aguilar?;1902-1994;1912-2004;1922-2014;1932-2024;B
42;¿En qué años vivió Francisco Miró Quesada Canturias?;1908-2009;1918-2019;1928-2029;1938-2039;B
43;¿En qué años vivió Manfredo Kempff Mercado?;1912-1964;1922-1974;1932-1984;1942-1994;B
44;¿En qué años vivió Arturo Andrés Roig?;1912-2002;1922-2012;1932-2022;1942-2032;B
45;¿En qué años vivió Rodolfo Kusch?;1912-1969;1922-1979;1932-1989;1942-1999;B
46;¿En qué años vivió Augusto Salazar Bondy?;1915-1964;1925-1974;1935-1984;1945-1994;B
47;¿Cuándo falleció Franz Hinkelammert?;2013;2018;2023;2025;C
48;¿Cuándo falleció Enrique Dussel?;2018;2020;2023;2025;C
49;¿En qué años vivió Juan José Bautista Segales?;1948-2011;1958-2021;1968-2031;1978-2041;B
50;¿Quién fue Jaime Mendoza Gonzales según sus años de vida?;1864-1929;1874-1939;1884-1949;1894-1959;B
51;¿En qué años vivió Franz Tamayo Solares?;1869-1946;1879-1956;1889-1966;1899-1976;B
52;¿En qué años vivió Alcides Arguedas Díaz?;1869-1936;1879-1946;1889-1956;1899-1966;B
53;¿Qué cordillera se bifurca al llegar a territorio boliviano según el texto?;La Cordillera Blanca;La Cordillera de los Andes;La Cordillera Oriental;La Cordillera Real;B
54;¿Qué tipo de independencia de conocimientos tiene Bolivia según su variedad étnico cultural?;Absoluta;Relativa;Sui generis;Parcial;C
55;¿Cuántas peculiaridades de la historia de las ideas filosóficas en Bolivia afirmaba J. Gaos en 1946?;Dos;Tres;Cuatro;Cinco;C
56;¿En qué revista publicó J. Gaos su afirmación sobre las peculiaridades filosóficas bolivianas?;Revista de Filosofía;Cuadernos americanos;Diánoia;Filosofía y Letras;B
57;¿En qué fecha específica publicó J. Gaos su artículo sobre filosofía boliviana?;Enero-febrero 1946;Marzo-abril 1946;Mayo-junio 1946;Julio-agosto 1946;B
58;¿Quién consideraba que el movimiento de la mística de la tierra superó el autoctonismo?;David García Bacca;Humberto Muñoz Ramírez;Mario Bunge;Guillermo Francovich;B
59;¿En qué semestre de 1945 publicó David García Bacca su artículo sobre filosofía en América?;Primer semestre;Segundo semestre;Tercer trimestre;Cuarto trimestre;A
60;¿En qué boletín publicó García Bacca su artículo?;Boletín de la Academia;Boletín Bibliográfico del Centro de Estudios Filosóficos de México;Revista Filosófica;Cuadernos de Filosofía;B
61;¿Qué problema plantea el panorama de la filosofía en América según García Bacca?;Un problema epistemológico;Un problema de filosofía de la cultura;Un problema ontológico;Un problema ético;B
62;¿Por qué vías sugiere García Bacca que debería aproximarse Bolivia a la filosofía?;Por lo racional;Por lo científico;Por lo estético;Por lo político;C
63;¿Entre qué décadas se implantaron la ideología y la filosofía escocesa en Bolivia?;1820 a 1840;1830 a 1850;1840 a 1860;1850 a 1870;B
64;¿Qué corrientes filosóficas predominaron a finales del siglo XIX en Bolivia?;Marxismo, anarquismo y socialismo;Liberalismo, positivismo y modernismo;Nacionalismo, indigenismo y populismo;Existencialismo, fenomenología y estructuralismo;B
65;¿Con el triunfo de qué partido se inicia el siglo XX en Bolivia?;Partido Conservador;Partido Liberal;Partido Republicano;Partido Nacionalista;B
66;¿En qué año aparece por primera vez el marxismo en Bolivia?;1910;1915;1920;1925;C
67;¿Cuántas corrientes filosóficas nuevas se desarrollan a mediados del siglo XX en Bolivia?;Dos;Tres;Cuatro;Cinco;B
68;¿Cuáles son las tres corrientes filosóficas que surgen a mediados del siglo XX en Bolivia?;Liberalismo, positivismo y modernismo;Nacionalismo, socialismo e indigenismo;Marxismo, anarquismo y populismo;Existencialismo, fenomenología y estructuralismo;B
69;¿En qué décadas gobernó el régimen del MNR?;Años 40 y 50;Años 50 y 60;Años 60 y 70;Años 70 y 80;B
70;¿En qué décadas se produjeron las dictaduras mencionadas en el texto?;Años 50 y 60;Años 60 y 70;Años 70 y 80;Años 80 y 90;C
71;¿En qué años vivió Mamerto Oyola Cuellar?;1828-1892;1838-1902;1848-1912;1858-1922;B
72;¿En qué años vivió José Antonio Arze?;1894-1945;1904-1955;1914-1965;1924-1975;B
73;¿En qué años vivió Luis Carranza Siles?;1908-1983;1918-1993;1928-2003;1938-2013;B
74;¿En qué años vivió Mario Miranda Pacheco?;1915-1998;1925-2008;1935-2018;1945-2028;B
75;¿En qué años vivió Rubén Carrasco de la Vega?;1916-2012;1926-2022;1936-2032;1946-2042;B
76;¿En qué años vivió Marvin Sandi Espinoza?;1928-1958;1938-1968;1948-1978;1958-1988;B
77;¿Qué obra publicó Jaime de Zudáñez en 1809?;Curso completo de Derecho Natural;El Catecismo Político cristiano;Al margen del bergsonismo;La filosofía en Bolivia;B
78;¿Qué obra publicó Luis Velasco en 1848?;El Catecismo Político cristiano;Curso completo de Derecho Natural;Fundamentos filosóficos de la educación;Mismidad;B
79;¿Qué obra publicó Ignacio Prudencio Bustillo en 1913?;La filosofía en Bolivia;Al margen del bergsonismo;Estética Idealista;Mismidad;B
80;¿Qué obra publicó Teodoro Oroza Deuer en 1950?;La filosofía en Bolivia;Fundamentos filosóficos de la educación;Estética Idealista;Mismidad;C
81;¿Qué obra publicó Luis Carranza Siles en 1963?;La filosofía en Bolivia;Estética Idealista;Fundamentos filosóficos de la educación;Mismidad;C
82;¿Qué obra publicó Numa Romero del Carpio en 1969?;Fundamentos filosóficos de la educación;Estética Idealista;La filosofía en Bolivia;Mismidad;D
83;¿Qué obra publicó Luis Eduardo Caballero B. en 2024?;La filosofía en Bolivia;400 años: la filosofía en la USFX (1624-2024);Mismidad;Fundamentos filosóficos de la educación;B
84;¿Qué periodo abarca la obra de Caballero sobre la filosofía en la USFX?;1524-1924;1624-2024;1724-2024;1824-2024;B
85;¿Qué enfatiza la generación de la fe mencionada en el texto?;La razón ilustrada;La ciencia positiva;La fuerza telúrica;El progreso material;C
86;¿Qué aspecto destacaron pensadores como Jaime Mendoza respecto a Bolivia?;Los factores económicos;Los factores geográficos;Los factores políticos;Los factores religiosos;B
87;¿A qué llamó Franz Tamayo según Mario Bunge?;La raza mestiza;La raza criolla;La raza de bronce;La raza andina;C
88;"¿Quién fue autor de la novela ""Raza de bronce""?";Franz Tamayo;Alcides Arguedas;Jaime Mendoza;Gabriel René Moreno;B
89;¿A qué se oponía el pensamiento de Tamayo y Arguedas según el texto?;Al liberalismo europeo;Al racismo positivista de Gabriel René Moreno;Al indigenismo radical;Al nacionalismo conservador;B
90;¿Qué característica mínima tiene la filosofía boliviana según el texto?;Razón práctica y aplicada;Razón filosófica pura y original;Razón científica y técnica;Razón política y social;B
91;¿De qué influencia no ha podido despojarse la filosofía latinoamericana según el texto?;De la influencia oriental;De la influencia greco-europea;De la influencia africana;De la influencia anglosajona;B
92;¿Qué tipo de materialismo dice Mario Bunge que resulta de la mística de la tierra?;Un materialismo dialéctico;Un materialismo histórico;Un crudo materialismo;Un materialismo científico;C
93;¿Qué tipo de capacidades destaca García Bacca en el alma latinoamericana?;Capacidades abstractas y teóricas;Capacidades técnicas y manuales;Capacidades científicas y matemáticas;Capacidades lingüísticas y literarias;B
94;¿Cuáles corrientes son importantes en Bolivia a principios del siglo XXI según el texto?;Liberalismo e indigenismo;Nacionalismo y liberalismo;Socialismo e indigenismo;Positivismo y marxismo;C
95;¿Qué sistema debilitó las corrientes filosóficas a finales del siglo XX en Bolivia?;El sistema socialista;El sistema neoliberal;El sistema corporativista;El sistema populista;B
96;¿Qué problema identifica el texto respecto a las energías filosóficas en Bolivia?;Están puestas en el desarrollo académico;Están puestas en ser oposición del oficialismo;Están puestas en la investigación pura;Están puestas en la docencia;B
97;¿Qué deberían elaborar los filósofos bolivianos en lugar de solo hacer oposición?;Tratados académicos;Síntesis propias y creativas;Manuales didácticos;Críticas literarias;B
98;¿Qué busca proponer Franz Hinkelammert según el texto?;Una economía de mercado;Una cultura de la esperanza y una sociedad sin exclusión;Un sistema capitalista reformado;Una democracia liberal;B
99;¿Cuál es la primera peculiaridad que J. Gaos identifica en la filosofía boliviana?;La originalidad de sus pensadores;Cierto retraso en la aparición de las corrientes filosóficas;La abundancia de producción filosófica;La independencia de Europa;B
100;¿Qué tarea considera Dussel que cuenta con poca prensa y prestigio?;Considerar a los pobres, oprimidos y excluidos en la política;El desarrollo económico;La administración pública;La educación superior;A
