id;question;option_a;option_b;option_c;option_d;answer_letter
244;¿Cuál es el área de un rombo con diagonales D y d?;Dd;Dd/2;2Dd;Dd/4;B
245;¿Cuál es el área de un trapecio con bases b, d y altura h?;(b + d)h;(b + d)h/2;(b - d)h/2;2(b + d)h;B
246;¿Cuál es el área de un círculo de radio r?;2πr;πr;πr²;2πr²;C
247;¿Cuál es el perímetro de un círculo de radio r?;πr;2πr;πr²;4πr;B
248;Si R = 8cm y r = 2cm en semicírculo con círculo inscrito, ¿cuál es área sombreada?;2π cm²;4π cm²;6π cm²;8π cm²;B
249;Si un cuadrado de lado 12m tiene círculo inscrito, ¿cuál es r?;3m;4m;6m;8m;C
250;En cuadrado inscrito en círculo de r = 5cm, ¿cuál es lado del cuadrado interior?;5cm;5√2 cm;10cm;10√2 cm;B
251;Si cuadrado exterior tiene lado 10cm y cuadrado interior lado 5√2 cm, ¿cuál es área sombreada?;25 cm²;40 cm²;50 cm²;75 cm²;C
252;Si segmento circular tiene 90° y r = 18cm, ¿cuál es área del sector?;254,47 cm²;354,47 cm²;454,47 cm²;554,47 cm²;A
253;Si triángulo rectángulo tiene catetos 18cm y área = 162 cm², ¿cuál es área segmento circular 90°?;82,47 cm²;92,47 cm²;102,47 cm²;112,47 cm²;B
254;Si rectángulo tiene perímetro 46m y diagonal 17m, ¿cuál es su área?;110 m²;115 m²;120 m²;125 m²;C
255;Si rectángulo tiene lados 8m y 18m, ¿cuál es lado de cuadrado con igual perímetro?;10m;12m;13m;15m;C
256;Si diagonales de rombo miden 6cm y 8cm, ¿cuál es el lado?;3cm;4cm;5cm;6cm;C
257;Si circunferencias ortogonales tienen r₁ = 3cm y r₂ = 4cm, ¿cuál es distancia entre centros?;5cm;7cm;12cm;25cm;A
258;¿Cuál es el complemento del suplemento de 130°?;30°;40°;50°;60°;C
259;Si el complemento de un ángulo es α, ¿cuál es su valor si el ángulo es 47°?;33°;43°;53°;63°;B
260;En triángulo isósceles con base 30cm y perímetro 72cm, ¿cuánto mide cada lado igual?;14cm;18cm;21cm;24cm;C
261;Si B es punto medio de AD y C es punto medio de BD con AD = 20, ¿cuáles son los segmentos AB, BC, CD?;10, 5, 5;5, 5, 10;4, 4, 12;12, 4, 4;A
262;Si α - (180° - α) = 3(90° - α), ¿cuál es α?;30°;45°;60°;90°;D
263;Si (90° - α) + (180° - α) = 140°, ¿cuál es α?;50°;55°;60°;65°;A
264;En polígono regular con 24 lados y cada lado = 6cm, si diagonales en cm = perímetro, ¿cuántos lados tiene?;9;12;15;18;A
265;¿Cuál es el símbolo del radián en el sistema radial o circular?;deg;rad;gon;rev;B
266;¿A cuántos grados sexagesimales equivale un ángulo recto?;45°;60°;90°;180°;C
267;¿Cuántos minutos sexagesimales tiene un grado sexagesimal?;30';60';90';100';B
268;¿Cuántos segundos sexagesimales tiene un minuto sexagesimal?;30'';60'';90'';100'';B
269;¿A cuántas partes divide la circunferencia un grado centesimal?;180;200;360;400;D
270;¿Cuántos minutos centesimales tiene un grado centesimal?;60m;80m;100m;120m;C
271;¿Cuántos segundos centesimales tiene un minuto centesimal?;60s;80s;100s;120s;C
272;¿A cuántos radianes equivalen 180°?;π rad;2π rad;π/2 rad;π/4 rad;A
273;¿A cuántos grados centesimales equivalen 180°?;100g;200g;300g;400g;B
274;Al convertir 210° al sistema radián, ¿qué valor se obtiene?;2π/3;7π/3;3π/4;7π/6;D
275;Al convertir 720° al sistema centesimal, ¿qué valor se obtiene?;800g;600g;400g;200g;A
276;Al convertir 2π/3 al sistema sexagesimal, ¿qué valor se obtiene?;150°;120°;210°;180°;B
277;Al convertir 80g al sistema radial, ¿qué valor se obtiene?;5π/3;2π/5;5π/6;3π/9;B
278;¿Cuál es el valor de E = (2π/3 + 60°)/(3π/2 - 300°)?;2;4;6;0;D
279;Si un círculo tiene radio 4√3 m y longitud de arco 12π/36 m, ¿cuál es el ángulo?;π/2;π/3;π/4;4π/9;D
280;¿A cuántos radianes equivalen 150°?;6π/5;2π/3;5π/6;3π/2;C
281;¿A cuántos grados equivale 5π/2?;270°;450°;360°;180°;B
282;Si el radio es 9 m y el ángulo central π/3, ¿cuál es la longitud del arco?;π;2π;3π;3π;C
283;¿A cuántos grados equivale 7π/3?;450°;360°;420°;180°;C
284;Si la longitud de arco es 3 m y el radio es 2 m, ¿cuál es el ángulo central?;3;3-feb;15;2-mar;B
285;Si un triángulo tiene ángulos internos de 35° y 5π/9 rad, ¿cuánto mide el tercer ángulo en sexagesimal?;45°;30°;40°;35°;A
286;¿A cuántos grados centesimales equivalen 3π/2?;255g;300g;400g;350g;B
287;Si un arco tiene 15 m de longitud y el ángulo central es 3 rad, ¿cuál es el radio?;5m;3m;4m;2m;A
288;¿A cuántos grados sexagesimales equivalen π/5 rad?;45°;36°;50°;38°;B
289;¿Cuál es la medida en radianes de 230°?;23π/18;18π/23;3π/8;8π/3;A
290;¿A cuántos grados centesimales equivalen 150°?;300g/8;200g/3;700g/3;500g/3;D
291;Si el ángulo es 1.8 rad y el radio es 10 cm, ¿cuál es la longitud del arco?;15m;13m;18m;12m;C
292;Al convertir 2π/5 rad a sexagesimal, ¿qué valor se obtiene?;45°;72°;50°;30°;B
293;¿A cuántos radianes equivalen 450g?;9π/5;2π/3;9π/4;3π/2;C
294;Si una circunferencia tiene radio 4 m y ángulo π/6 rad, ¿cuál es la longitud del arco?;π/3 m;2π m;2π/3 m;2π/3 m;D
295;¿A cuántos radianes equivalen 300g?;3π/2;π/3;7π/4;2π/3;A
296;Si un arco tiene 20 m de longitud y el ángulo central es 5π rad, ¿cuál es el radio?;3/π;4/π;7/π;2/π;B
297;¿A cuántos grados sexagesimales equivalen 230g?;205°;236°;207°;308°;C
298;¿A cuántos grados centesimales equivalen 2π rad?;200g;400g;300g;500g;A
299;Si el radio es 20 m y la longitud del arco es 25 m, ¿cuál es el ángulo en radianes?;5-feb;3-may;2-mar;5-abr;D
300;¿A cuántos radianes equivalen 90°?;π/3;π/4;π/2;π/5;C
301;Si el radio es 10 m y el ángulo central π/5, ¿cuál es la longitud del arco?;π m;2π m;2π m;3π m;C
302;Si el ángulo central es 1.8 rad y el arco es 27 cm, ¿cuál es el radio?;15 m;12 m;13 m;11 m;A
303;¿A cuántos grados sexagesimales equivalen 40g?;18°;20°;24°;36°;D
304;¿A cuántos radianes equivalen 15°?;π;0.26;15π;π/2;B
305;¿A cuántos radianes equivalen 150°?;2.62;0.262;26.2;262;A
306;¿A cuántos radianes equivalen 90°?;π;2π;π/2;3π/2;C
307;¿A cuántos radianes equivalen 45°?;π;2π;π/2;π/4;D
308;¿A cuántos grados sexagesimales equivalen π/5 rad?;46°;56°;36°;90°;C
309;¿A cuántos grados sexagesimales equivalen π/10 rad?;10°;15°;20°;18°;D
310;¿A cuántos grados sexagesimales equivalen π/2 rad?;0°;90°;180°;270°;B
311;¿A cuántos grados sexagesimales equivalen 17π/4?;765°;755°;760°;800°;A
312;¿A cuántos grados sexagesimales equivalen 7π/20 rad?;60°;62°;63°;64°;C
313;¿Cuál es el complemento de 30° expresado en el sistema circular?;π/3 rad;π/6 rad;π/4 rad;π/5 rad;A
314;¿Cuál es el suplemento de 100g expresado en el sistema radial?;π/3 rad;π/6 rad;π/8 rad;π/2 rad;D
315;¿Cuál es el suplemento de 60° expresado en el sistema radial?;π/3 rad;π/6 rad;π/4 rad;2π/3 rad;D
316;¿Cuál es el complemento de 20g expresado en el sistema sexagesimal?;70°;72°;82°;56°;B
317;¿A cuántos grados centesimales equivalen 33π/25 rad?;260g;264g;266g;270g;B
318;¿A cuántos grados centesimales equivalen π/10 rad?;10g;20g;30g;40g;B
319;Si el ángulo central es 75° en una circunferencia de 24 m de radio, ¿cuál es la longitud del arco?;5π m;10π m;15π m;20π m;B
320;Si la longitud del arco es 4π cm y el ángulo central es 50g, ¿cuánto mide el radio?;14 cm;15 cm;16 cm;12 cm;C
321;Si el ángulo central es 70g y el radio 1 m, ¿cuánto mide el arco?;35π cm;5π cm;15π cm;14π cm;A
322;Si el arco mide 4π m y el ángulo central es 50g, ¿cuánto mide el radio?;16 m;8 m;24 m;28 m;A
323;¿Cuál es la fórmula para calcular la longitud de arco?;s = θ + r;s = θ × r;s = θ/r;s = r/θ;B
324;¿En qué unidad se mide la longitud de arco?;Radianes;Grados;Unidad lineal;Grados centesimales;C
325;Al convertir 63.5° a grados, minutos y segundos, ¿qué valor se obtiene?;63°15';63°30';63°45';63°60';B
326;Al convertir 30.75° a grados y minutos, ¿qué valor se obtiene?;30°30';30°45';30°60';30°75';B
327;¿Cuál es el ángulo completo en radianes?;π rad;3π/2 rad;2π rad;4π rad;C
328;Si 80° se convierte a radianes, ¿cuál es el resultado?;4π/9;2π/9;π/9;8π/9;A
329;Si π/4 rad se convierte a grados, ¿cuál es el resultado?;30°;45°;60°;90°;B
330;Si 45° se convierte a grados centesimales, ¿cuál es el resultado?;40g;50g;60g;70g;B
331;Si 70g se convierte a grados sexagesimales, ¿cuál es el resultado aproximado?;55°;63°;70°;78°;B
332;Si π/3 se convierte a grados centesimales, ¿cuál es el resultado aproximado?;60g;66.67g;70g;75g;B
333;Si 30g se convierte a radianes, ¿cuál es el resultado?;π/15;3π/20;π/10;π/5;B
334;Si el ángulo es 60° y el radio es 6 cm, ¿cuál es la longitud del arco?;π cm;2π cm;3π cm;4π cm;B
335;¿Cuál es la fórmula del seno de un ángulo en un triángulo rectángulo?;cateto adyacente/hipotenusa;cateto opuesto/hipotenusa;cateto opuesto/cateto adyacente;hipotenusa/cateto opuesto;B
336;¿Cuál es la fórmula del coseno de un ángulo en un triángulo rectángulo?;cateto opuesto/hipotenusa;cateto adyacente/hipotenusa;hipotenusa/cateto adyacente;cateto adyacente/cateto opuesto;B
337;¿Cuál es la fórmula de la tangente de un ángulo en un triángulo rectángulo?;cateto adyacente/cateto opuesto;hipotenusa/cateto opuesto;cateto opuesto/cateto adyacente;cateto opuesto/hipotenusa;C
338;¿Cuál es la fórmula de la cotangente de un ángulo?;cateto opuesto/cateto adyacente;cateto adyacente/cateto opuesto;hipotenusa/cateto adyacente;cateto adyacente/hipotenusa;B
339;¿Cuál es la fórmula de la secante de un ángulo?;cateto adyacente/hipotenusa;hipotenusa/cateto adyacente;cateto opuesto/hipotenusa;hipotenusa/cateto opuesto;B
340;¿Cuál es la fórmula de la cosecante de un ángulo?;cateto opuesto/hipotenusa;hipotenusa/cateto adyacente;hipotenusa/cateto opuesto;cateto adyacente/hipotenusa;C
341;¿Cuál es el radio del círculo trigonométrico?;0.5 unidades;1 unidad;2 unidades;π unidades;B
342;¿Dónde se encuentra el centro del círculo trigonométrico?;(1, 0);(0, 1);(0, 0);(1, 1);C
343;En el círculo trigonométrico, ¿qué representa la coordenada x del punto?;sen θ;cos θ;tan θ;cot θ;B
344;En el círculo trigonométrico, ¿qué representa la coordenada y del punto?;cos θ;tan θ;sen θ;sec θ;C
345;¿Cuál es el signo del seno en el cuadrante II?;Negativo;Positivo;Cero;Indefinido;B
346;¿Cuál es el signo del coseno en el cuadrante II?;Positivo;Negativo;Cero;Indefinido;B
347;¿Cuál es el signo de la tangente en el cuadrante III?;Negativo;Cero;Positivo;Indefinido;C
348;¿Cuál es el signo del coseno en el cuadrante IV?;Negativo;Cero;Indefinido;Positivo;D
349;¿Cuál es el valor de sen 30°?;√3/2;1/2;√2/2;1;B
350;¿Cuál es el valor de cos 60°?;√3/2;√2/2;1-feb;1;C
351;¿Cuál es el valor de sen 45°?;1/2;√3/2;√2/2;1;C
352;¿Cuál es el valor de tan 60°?;1;√2;√3;2;C
353;¿Cuál es el valor de tan 45°?;√3;1/2;√2;1;D
354;¿Cuál es el valor de cos 30°?;1/2;√2/2;√3/2;1;C
355;¿Cuál es el valor de sen 120°?;1/2;√2/2;-√3/2;√3/2;D
356;¿Cuál es el valor de tan 30°?;√3;1;√3/3;1/2;C
357;¿Cuál es el valor de cos 45°?;1/2;√3/2;√2/2;1;C
358;¿Cuál es el valor de cot π/6?;√3/3;0;√3;1/2;C
359;¿Cuál es el valor de sen π/4?;√3/2;√2/2;1/3;1/2;B
360;¿Cuál es el valor de sen π/3?;1/2;√2/2;1/3;√3/2;D
361;¿Cuál es el valor de cos π/3?;1/2;√3/2;1/4;√2/2;A
362;¿Cuál es el valor de sen π/6?;1/2;√3/2;1/3;1/4;A
363;¿Cuál es el valor de tan π/3?;√3/2;√3;1;0;B
364;¿Cuál es el valor de cos π/4?;√2/2;1/4;√3/2;1/3;A
365;¿Cuál es el valor de cos 120°?;2;-1;-0,5;√3;C
366;¿Cuál es el valor de tan 315°?;2;-1;-0,5;√3;B
367;¿Cuál es el valor de csc 300°?;2√3;√3/3;-2√3/3;√3;C
368;¿Cuál es el valor de cot 150°?;√3;√3/3;2√3/3;-√3;D
369;¿Cuál es el valor de sec 210°?;2√3;√3/3;-2√3/3;√3;C
370;¿Cuál es el valor de sen 135°?;√2;-1;√2/2;1-feb;C
371;¿Cuál es el valor de cos 720°?;2;-1;1;2;C
372;¿Cuál es el valor de csc 450°?;1;√3/3;-2√3/3;√3;A
373;¿Cuál es el valor de sec 900°?;2√3;√3/3;-1;√3;C
374;¿Cuál es el valor de cot 1050°?;2√3;√3/3;-2√3/3;-√3;D
375;Si un ángulo α pertenece al II cuadrante, ¿cómo se reduce?;360° - α;α - 180°;180° - α;α - 90°;C
376;Si un ángulo α pertenece al III cuadrante, ¿cómo se reduce?;α - 180°;360° - α;180° - α;α - 90°;A
377;Si un ángulo α pertenece al IV cuadrante, ¿cómo se reduce?;α - 180°;180° - α;α - 90°;360° - α;D
378;¿Cuál es el valor equivalente de sen 320° reducido al primer cuadrante?;sen 40°;-sen 40°;sen 50°;-sen 50°;B
379;Al reducir cos 120° al primer cuadrante, ¿cuál es el resultado?;cos 60°;-cos 60°;cos 30°;-cos 30°;B
380;Al reducir tan 210° al primer cuadrante, ¿cuál es el resultado?;-tan 30°;tan 30°;-tan 60°;tan 60°;B
381;Al reducir sen 300° al primer cuadrante, ¿cuál es el resultado?;sen 60°;-sen 60°;sen 30°;-sen 30°;B
382;¿Cuál es el valor de sen 0°?;1;0;-1;√2/2;B
383;¿Cuál es el valor de cos 0°?;0;-1;√2/2;1;D
384;¿Cuál es el valor de sen 90°?;0;√2/2;1;-1;C
385;¿Cuál es el valor de cos 90°?;1;-1;√2/2;0;D
386;¿Cuál es el valor de sen 180°?;1;-1;0;√2/2;C
387;¿Cuál es el valor de cos 180°?;0;1;√2/2;-1;D
388;¿Cuál es el valor de sen 270°?;0;1;√2/2;-1;D
389;¿Cuál es el valor de cos 270°?;-1;1;0;√2/2;C
390;¿Cuál es el resultado de sen 30° + tan 45° × cos 30°?;2;3;1;2;C
391;¿Cuál es el resultado de cos 60° + sen² 45°?;1;2;3;ninguno;A
392;¿Cuál es el resultado de 2sen 30° + 2cos 45°?;2 + √2;√2 + 2;2√2;4√2/3;A
393;Al reducir sen 250° al primer cuadrante, ¿cuál es la función equivalente?;sen 270°;sen 20°;sen 70°;sen 160°;C
394;¿Cuál es el resultado de sen 315°?;-√2/2;√2/2;√3/2;-2√3;A
395;Al reducir sen 115° al primer cuadrante, ¿cuál es el resultado?;sen 30°;sen 65°;cos 65°;1;B
396;¿Cuál es el valor de la expresión cos 30° × sen 30°?;1/2;√3;√3/2;2/3;C
397;¿Cuál es el resultado de sen² 45° + cos² 30°?;1;5/4;4/5;1/2;B
398;¿Cuál es el valor de cos 225°?;√2/2;-√2/2;√3/2;-2√2;B
399;¿Cuál es el valor de sen 315°?;2√3;-2√3;-√2/2;√3/2;C
400;Para un ángulo mayor a 360°, ¿cómo se reduce al primer cuadrante?;α - 360°;residuo de α ÷ 360°;360° - α;α + 360°;B
401;¿Cuál es la relación entre tan θ, sen θ y cos θ?;tan θ = cos θ / sen θ;tan θ = sen θ × cos θ;tan θ = sen θ / cos θ;tan θ = 1 / (sen θ × cos θ);C
402;En el círculo trigonométrico, ¿cuántos cuadrantes hay?;2;3;4;5;C
403;¿Cuál es el valor de M = (sen² 30° + sen² 60° - sen² 90°)?;2;3/4;1/2;0;C
404;¿Cuál es el valor de P = sen² 45° + cos² 30°?;2/3;5/4;5/2;5/4;B
405;¿Cuál es la identidad trigonométrica fundamental que relaciona sen²x y cos²x?;sen²x - cos²x = 1;sen²x + cos²x = 1;sen²x × cos²x = 1;sen²x / cos²x = 1;B
406;¿Cuál es la identidad recíproca del seno?;sec θ = 1/sen θ;csc θ = 1/sen θ;cot θ = 1/sen θ;tan θ = 1/sen θ;B
407;¿Cuál es la identidad recíproca del coseno?;csc θ = 1/cos θ;sec θ = 1/cos θ;cot θ = 1/cos θ;tan θ = 1/cos θ;B
408;¿Cuál es la identidad recíproca de la tangente?;sec θ = 1/tan θ;csc θ = 1/tan θ;cot θ = 1/tan θ;sen θ = 1/tan θ;C
409;¿Cuál es la relación entre sen x y tan x según las identidades?;sen x = tan x × cos x;sen x = tan x / cos x;sen x = cos x / tan x;sen x = tan x + cos x;A
410;¿Cuál es la relación entre cos x y cot x según las identidades?;cos x = cot x - sen x;cos x = cot x + sen x;cos x = cot x / sen x;cos x = cot x × sen x;D
411;¿Cuál es la identidad sec²x = ?;1 - tan²x;1 / tan²x;1 + tan²x;tan²x - 1;C
412;¿Cuál es la identidad csc²x = ?;1 - cot²x;1 + cot²x;cot²x - 1;1 / cot²x;B
413;¿Cuál es la fórmula del seno de la suma de dos ángulos sen(α + β)?;sen α × cos β - cos α × sen β;sen α × cos β + cos α × sen β;cos α × cos β - sen α × sen β;cos α × cos β + sen α × sen β;B
414;¿Cuál es la fórmula del coseno de la suma de dos ángulos cos(α + β)?;cos α × cos β + sen α × sen β;sen α × cos β + cos α × sen β;cos α × cos β - sen α × sen β;sen α × sen β - cos α × cos β;C
415;¿Cuál es la fórmula de la tangente de la suma tan(α + β)?;(tan α - tan β)/(1 + tan α × tan β);(tan α + tan β)/(1 - tan α × tan β);(tan α × tan β)/(1 + tan α + tan β);(tan α + tan β)/(1 + tan α × tan β);B
416;¿Cuál es la fórmula del seno del ángulo doble sen 2θ?;2sen θ;sen θ × cos θ;2sen θ × cos θ;sen²θ + cos²θ;C
417;¿Cuál es la fórmula del coseno del ángulo doble cos 2θ?;2cos²θ - 1;cos²θ - sen²θ;sen²θ - cos²θ;cos²θ + sen²θ;B
418;¿Cuál es la fórmula de la tangente del ángulo doble tan 2θ?;2tan θ/(1 + tan²θ);tan²θ/(1 - tan θ);2tan θ/(1 - tan²θ);tan θ/(1 - 2tan²θ);C
419;Al reducir sen x × cot x - cos x, ¿cuál es el resultado?;1;0;sen x;tan x;B
420;Al simplificar tan x(1 + cos x) - cos x, ¿cuál es el resultado?;sen x;1;0;cot x;A
421;Al reducir (sec x - 1)(sec x + 1)/(sec x × cos x), ¿cuál es el resultado?;cos x;0;1;-1;C
422;Al reducir (sen x + cos x)² + (sen x - cos x)², ¿cuál es el resultado?;1;0;-1;2;D
423;Al simplificar (tan x + 1)/(cot x + 1), ¿cuál es el resultado?;tan x;cot x;sec x;csc x;A
424;Al reducir (sec x + csc x)(sen x - tan x), ¿cuál es el resultado?;1;2;csc x;cot x;D
425;Al reducir (tan x + cot x)(sen x × cos x), ¿cuál es el resultado?;sec x;tan x;cot x;1;D
426;Al simplificar csc x(tan x - sen x), ¿cuál es el resultado?;cos x;1;sec x;csc x;C
427;Al simplificar (tan x + 1)/(sen x + cos x), ¿cuál es el resultado?;sen x;cos x;sec x;csc x;C
428;Al resolver tan(225° + 135°), ¿cuál es el resultado?;0;1;-1;2;A
429;¿Cuál es el equivalente de sec²x(1 - sen²x)?;sen x;cos x;tan x;ninguno;B
430;¿Cuál es el valor de la expresión cos²α + sen²α?;-1;0;1;∞;C
431;¿Cuál es el valor de la expresión (1 + ctg²θ)sen²θ?;1 + ctg²θ;sen²θ;1 + cos²θ;1;D
432;¿Cuál es la expresión equivalente a cos θ × cot θ × csc θ?;tan θ;sec θ;cot θ;ninguno;C
433;¿Cuál es la simplificación de sec²θ - sen²θ × sec θ?;cos θ - 1;sen²θ + 1;cos²θ;cos θ;D
434;¿Cuál es el valor equivalente de cos²x + 2sen²x?;sen x × cos 2x;1;tan 2x;sen²x;B
435;¿Cuál es la expresión sen α(ctg θ + csc θ) igual a?;1 + ctg²θ;sen 2θ;cos θ + 1;1;C
436;¿Cuál es la simplificación de csc²θ(1 - cos²θ)?;1;1/(2sen θ) + 1;cos 2θ;cos θ;A
437;¿Cuál es la simplificación de sec²A - 1/(sen A)?;cos 2A;sen A/cos 2A;tan A;sen A;D
438;Al resolver sen(60° - 30°), ¿cuál es el resultado?;-1;1-feb;-0,5;1;B
439;¿Cuál es la simplificación de 1 + tan²θ - sec²θ?;1;-1;0;2;C
440;Al simplificar cos β + sen β × ctg β, ¿cuál es el resultado?;cos β;sen β;ctg β;csc β;D
441;¿Cuál es el resultado de simplificar sen θ × sec θ × ctg θ?;sec²θ;cos θ;sen²θ;1;D
442;Al simplificar cos²θ + sen³θ/sen θ, ¿cuál es el resultado?;cos θ;sen θ;tan θ;1;D
443;Al simplificar sen θ × tan θ + cos θ, ¿cuál es el resultado?;sec θ;csc θ;tan θ;1;A
444;Al simplificar (cos²θ - sen²θ)/(cos θ - sen θ), ¿cuál es el resultado?;csc θ;cos θ;sec θ;tan θ;B
445;Al simplificar 1 + cos²x + sen²x, ¿cuál es el resultado?;sen α;cos α;1;ctg α;C
446;¿Cuál es el valor de (1 + tg α)² - (1 - tg α)²?;sec α;4tg α;cos α;tg α;B
447;Al reducir cot²x(cos x + sen x)/sen x, ¿cuál es el resultado?;cos x;sen x;sec x;csc x;D
448;Al reducir (sec²x - 1)(1 - cot²x)/(1 - sen²x), ¿cuál es el resultado?;sen x × cos x;sen²x;cos²x;sen⁴x;B
449;Al reducir (tan³x + tan x)/(cot³x + cot x), ¿cuál es el resultado?;tan²x;cot²x;tan⁴x;cot⁴x;C
450;Al reducir (sen⁴x - cos⁴x)/(cos x + sen x) + cos x, ¿cuál es el resultado?;sen x;sen x + 2cos x;cos x;2cos x;A
451;Al reducir cot²x/(csc⁴x - 1) + 1, ¿cuál es el resultado?;cot x;tan x;cot²x;tan²x;C
452;Al reducir (3sen²x + 2cos²x)/(2sen²x - 3cos²x), ¿cuál es el resultado?;cot x;tan x;9;13;A
453;Al reducir (sec x + tan x - 1)/(csc x - cot x + 1), ¿cuál es el resultado?;sec x;csc x;tan x;cot x;A
454;Al reducir (cot x - cos x)/(csc²x - 1) - 2sen x, ¿cuál es el resultado?;sen x;cos x;cot x;tan x;C
455;¿Cuál es la expresión equivalente a (1 + tan α)² + (1 - tan α)²?;4tan²α;cos²α;2;2sec²α;D
456;Al reducir (tan²x + cot²x) - (tan x - cot x)², ¿cuál es el resultado?;1;2;3;4;D
457;Al reducir (1 + sen x)² + cos²x - 2sen x, ¿cuál es el resultado?;1;2;3;4;D
458;Al reducir cos A + sen A × tan A/(sen A × sec A), ¿cuál es el resultado?;csc A;sec A;tan A;cot A;A
459;Al reducir sen²x/(tan x + cot x), ¿cuál es el resultado?;csc x;sec x;tan x;cot x;D
460;Al reducir (1 + cos x)/(sen x) + sen x/(1 + cos x), ¿cuál es el resultado?;2;4;tan x;cos x;A
461;Si cos β = 1/4 y β ∈ 1er Cuadrante, ¿cuál es cos β + sen β?;1;2;1-feb;√2;B
462;Si cos θ × sen θ = 0.25, ¿cuál es cos θ + sen θ?;2;√6;√6/2;√2;B
463;Si tan θ + cot θ = 3, ¿cuál es (sen θ + cos θ)²?;1-feb;5-mar;1-abr;0;B
464;Si cos x - sen x = 1/3, ¿cuál es sec²x + csc²x?;4-sep;9-abr;1-abr;3-abr;B
465;¿Cuál es la identidad tan²x + 1 = ?;sec²x;csc²x;cot²x;sen²x;A
466;¿Cuál es la identidad cot²x + 1 = ?;sec²x;tan²x;csc²x;cos²x;C
467;¿Cuál es la relación sen x × csc x = ?;tan x;0;sec x;1;D
468;¿Cuál es la relación cos x × sec x = ?;cot x;1;csc x;0;B
469;¿Cuál es la relación tan x × cot x = ?;0;sec x;1;csc x;C
470;Al reducir sen⁴x - cos⁴x, ¿es igual a?;sen²x + cos²x;sen²x - cos²x;sen²x × cos²x;(sen x - cos x)²;B
471;Al simplificar tan x = sen x/cos x, ¿qué identidad se verifica?;Identidad pitagórica;Identidad del cociente;Identidad recíproca;Identidad del ángulo doble;B
472;¿Cuál es la expresión (sen α + β)?;sen α × cos β + cos α × sen β;sen α × cos β - cos α × sen β;cos α × cos β + sen α × sen β;cos α × cos β - sen α × sen β;A
473;Si tan x = 2(1 + cos x)/(sen x + 1) y x ∈ 3er Cuadrante, ¿cuál es sec x × csc x?;3-feb;5-feb;7-feb;3-abr;B
474;Si sec x × csc x = 4cot x y x ∈ 2do Cuadrante, ¿cuál es x?;135°;150°;120°;143°;A
475;¿Cuál es la fórmula correcta para sen(A+B)?;sen(A)cos(B)+cos(A)sen(B);sen(A)sen(B)+cos(A)cos(B);sen(A)cos(B)-cos(A)sen(B);cos(A)cos(B)-sen(A)sen(B);A
476;¿Cuál es la fórmula para cos(A-B)?;cos(A)cos(B)-sen(A)sen(B);cos(A)cos(B)+sen(A)sen(B);sen(A)cos(B)+cos(A)sen(B);sen(A)sen(B)-cos(A)cos(B);B
477;La fórmula tan(A+B) es igual a:;(tan(A)-tan(B))/(1+tan(A)tan(B));(tan(A)+tan(B))/(1-tan(A)tan(B));(tan(A)+tan(B))/(1+tan(A)tan(B));(tan(A)tan(B))/(1-tan(A)-tan(B));B
478;¿Cuál es la fórmula para sen(2A)?;sen(A)cos(A);2sen(A)cos(A);sen²(A)+cos²(A);2sen(A)+cos(A);B
479;La expresión cos(2A) es equivalente a:;2cos²(A)-1;2cos(A)-1;cos²(A)+sen²(A);cos(A)-sen(A);A
480;¿Cuál es otra forma de expresar cos(2A)?;cos²(A)-sen²(A);cos²(A)+sen²(A);2cos(A)sen(A);sen²(A)-cos²(A);A
481;La fórmula tan(2A) es igual a:;2tan(A)/(1-tan²(A));tan(A)/(1-tan²(A));2tan(A)/(1+tan²(A));tan²(A)/(1-tan(A));A
482;¿Cuál es la fórmula para sen(A/2)?;±√((1-cos(A))/2);±√((1+cos(A))/2);±√((1-sen(A))/2);±√(cos(A)/2);A
483;La expresión cos(A/2) es igual a:;±√((1+cos(A))/2);±√((1-cos(A))/2);±√((1+sen(A))/2);±√((cos(A)+1)/4);A
484;¿Cuál es la fórmula para sen(3A)?;3sen(A)-4sen³(A);4sen³(A)-3sen(A);3sen(A)+4sen³(A);sen³(A)-3sen(A);A
485;La fórmula cos(3A) es equivalente a:;4cos³(A)-3cos(A);3cos(A)-4cos³(A);4cos³(A)+3cos(A);cos³(A)-3cos(A);A
486;Al simplificar (1+tan²(x))+(1-tan²(x)) se obtiene:;2sec²(x);2;2cos²(x);sec²(x);A
487;Si cos(x)=2a/3 y sen(x)=b, entonces 3a²+b equivale a:;3;1;4;6;B
488;Al reducir cos²(x)+sen²(x)+cos(x)-sen(x) se tiene:;2;1;3;1+2senx;B
489;La expresión (1+sen(x))/(1-sen(x)) es equivalente a:;2sec²(x);sec²(x);2csc²(x);csc²(x);A
490;sec²(x)-tan²(x) es igual a:;1;2;3;1-feb;A
491;La expresión (1+cos(2x))/sen²(x) equivale a:;sec(x);cot(x);csc(x);tan(x);C
492;Al simplificar cot(x)·sec(x) se obtiene:;csc(x);ctg(x);sen(x);tan(x);A
493;Simplificando sec(x)/(tan(x)+cot(x)) tenemos:;sen(x);cos(x);csc(x);ctg(x);A
494;Al reducir 1-sen(x)·cos(x)·tan(x) tenemos:;cos²(x);cos(x);sen(x);ctg(x);A
495;La expresión sen(x)·tan(x)+cos(x) es igual a:;sec(x);ctg(x);csc(x);tan(x);A
